question_number,question_text,choices,has_image,gpt-4o_answer,gpt-4o_explanation,gpt-4o_confidence,claude_answer,claude_explanation,claude_confidence,gemini_answer,gemini_explanation,gemini_confidence,o1_answer,o1_explanation,o1_confidence,o3-mini_answer,o3-mini_explanation,o3-mini_confidence
119E11,腎盂腎炎の診察に有用なのはどれか。 ,a. 振水音の聴診 | b. Traube三角の打診 | c. 鼠径リンパ節の触診 | d. 腹部血管雑音の聴診 | e. 肋骨脊柱角の叩打診,False,e,腎盂腎炎の診察に最も有用なのは、肋骨脊柱角（cva: costovertebral angle）の叩打診（叩打痛の有無を確認すること）です。これは、腎臓の部位に炎症がある場合に痛みが誘発されるため、診断に用いられます。他の選択肢は腎盂腎炎の診断には直接結びつきません。,1.0,e,腎盂腎炎では腎臓の炎症による叩打痛が特徴的で、肋骨脊柱角（cva：costovertebral angle）の叩打痛（cva tenderness）は重要な診察所見です。これは腎盂腎炎の診断に高い感度と特異度を持つ身体所見として広く認識されています。,0.9,e,腎盂腎炎は腎臓の炎症であり、肋骨脊柱角の叩打診で疼痛を誘発することが診断に有用である。,1.0,e,腎盂腎炎では肋骨脊柱角（cva）の叩打痛の有無が診察に有用であるため。,1.0,e,肋骨脊柱角の叩打診は、腎盂腎炎でしばしば認められるコストオーバーテバーサル（腎臓周囲の圧痛）を確認するため、有用な診察所見です。他の選択肢は腎盂腎炎の診察に特有のものではありません。,1.0
119E12,手指のエックス線写真(別冊No.11~5)を別に示す。骨折を認めるのはどれか。 ,a. 1 | b. 2 | c. 3 | d. 4 | e. 5,True,de,④と⑤の画像では、骨折線が明確に確認できる。特に⑤では粉砕骨折のような形態を示している。一方、①、②、③の画像では骨折線は認められない。,0.95,d,エックス線写真4番では、第5中手骨に明確な骨折線が認められます。骨折は骨の連続性が断たれた状態として特徴的なx線所見を示し、この画像では骨折線が明瞭に確認できます。他の画像では明らかな骨折所見は認められません。,0.9,e,写真5では、明らかに骨の連続性が失われており、骨折と判断できる。,1.0,e,5番の像で骨片が多数に分かれており明らかな骨折が認められるため,1.0,d,x線所見を比較したとき、別冊の写真の中で、4番の画像に明らかな骨皮質の連続性の乱れや骨片のずれが認められ、骨折の特徴がみられるため。,0.9
119E13,症候と疾患の組合せで正しいのはどれか。 ,a. 嚥下障害膵炎 | b. 黄疸腸閉塞 | c. 吐血潰瘍性大腸炎 | d. 腹部膨隆胃食道逆流症 | e. 便通異常過敏性腸症候群,False,e,過敏性腸症候群（ibs）は便通異常が主な症状の一つとして知られています。他の選択肢は、一般的には関連性のある症状ではありません。,1.0,e,過敏性腸症候群(ibs)の主症状は便通異常（下痢や便秘、またはその交代）であり、この組み合わせは正しいです。他の選択肢は誤りで、例えば潰瘍性大腸炎の主症状は血便であり吐血ではありません。また、胃食道逆流症の主症状は胸焼けや呑酸であり、腹部膨隆ではありません。,0.9,e,便通異常は過敏性腸症候群の主要な症状の一つであるため。,1.0,e,過敏性腸症候群は便通異常が主症状の一つであるため。,1.0,e,過敏性腸症候群は主要な症状として便通異常（下痢や便秘など）を呈するため、この組合せが正しい。その他の選択肢は、症候と疾患の典型的な関連性が認められない。,1.0
119E14,長時間の砕石位による合併症で誤っているのはどれか。 ,a. 視力障害 | b. 下肢の神経損傷 | c. 深部静脈血栓症 | d. 接地部の圧迫性潰瘍 | e. 体位解除後の低血圧,False,a,砕石位は、手術中に患者の下肢を上げて股関節と膝を屈曲させた体位を指します。この体位は、下肢や骨盤周辺の手術でよく使用されますが、長時間の砕石位によって以下のような合併症が起こり得ます：下肢の神経損傷（下肢が圧迫されることによる）、深部静脈血栓症（血流が停滞しやすい体位による）、接地部の圧迫性潰瘍（局所的な圧迫）、体位解除後の低血圧（体位変換による血圧変動）。しかし、視力障害は砕石位による特徴的な合併症ではありません。,1.0,a,長時間の砕石位による合併症として、視力障害は一般的ではありません。一方、他の選択肢は全て砕石位の典型的な合併症です。下肢の神経損傷（特に総腓骨神経）、深部静脈血栓症（下肢の静脈うっ滞による）、圧迫部位の潰瘍形成、体位解除後の低血圧（下肢への血液再灌流による）は、全て砕石位の既知の合併症です。,0.9,a,長時間の砕石位では、下肢への圧迫による神経損傷、深部静脈血栓症、圧迫性潰瘍、体位変換後の低血圧などが起こりやすい。視力障害は砕石位に直接関連する合併症とは考えにくい。,0.9,a,長時間の砕石位で生じやすいのは下肢神経損傷や深部静脈血栓症、圧迫性潰瘍、体位解除後の低血圧などであり、視力障害は通常想定される合併症ではないため。,0.9,a,長時間の砕石位では、下肢の神経損傷、深部静脈血栓症、接地部の圧迫性潰瘍、体位解除後の低血圧といった合併症が実際に報告されていますが、視力障害は通常認められていないため誤りとなります。,1.0
119E15,喫煙と関連が乏しいのはどれか。 ,a. 歯周病 | b. 大動脈瘤 | c. 1型糖尿病 | d. 冠動脈疾患 | e. 慢性閉塞性肺疾患,False,c,喫煙は多くの疾患と関連していますが、1型糖尿病は自己免疫疾患であり、喫煙の影響が乏しいとされています。その他の選択肢は、喫煙と関連があることが知られています。,0.9,c,1型糖尿病は自己免疫疾患であり、主な発症要因は遺伝的素因と環境因子（ウイルス感染など）です。他の選択肢（歯周病、大動脈瘤、冠動脈疾患、copd）は全て喫煙が重要なリスク因子として確立されています。,0.9,c,喫煙は歯周病、大動脈瘤、冠動脈疾患、慢性閉塞性肺疾患のリスク因子である。1型糖尿病は自己免疫疾患であり、喫煙との関連は乏しい。,0.9,c,1型糖尿病は自己免疫性疾患であり、喫煙は他の選択肢に比べて発症リスクに大きく寄与しないため。,1.0,c,1型糖尿病は自己免疫疾患であり、他の選択肢のように喫煙による直接的な影響が認められていないため。,1.0
119E16,小脳機能の評価に用いないのはどれか。 ,a. 膝踵試験 | b. 指鼻試験 | c. 鼻指鼻試験 | d. 回内回外試験 | e. 上肢Barré試験,False,e,小脳機能の評価には運動の協調性や平衡感覚を確認する試験が用いられます。a. 膝踵試験、b. 指鼻試験、c. 鼻指鼻試験、d. 回内回外試験はすべて小脳機能の評価に関連していますが、e. 上肢barré試験は主に錐体路の障害を評価するための試験であり、小脳機能の直接的な評価には用いません。,0.9,e,上肢barré試験は錐体路障害（筋力低下）の評価に用いる検査であり、小脳機能の評価には用いません。他の選択肢（膝踵試験、指鼻試験、鼻指鼻試験、回内回外試験）はいずれも協調運動を評価する小脳機能検査です。,0.9,e,上肢barré試験は錐体路障害の評価に用いる。その他は小脳機能の評価に用いる。,1.0,e,上肢barré試験は錐体路の評価に用いられるため、小脳機能の評価には使わない。,1.0,e,上肢barré試験は、上位運動ニューロンの病変による軽度な筋力低下の評価に用いられ、小脳の協調運動障害を評価する検査ではないため。その他の膝踵試験、指鼻試験、および鼻指鼻試験は、小脳機能の評価に使われ、回内回外試験は速い交互運動（ジスディアドコキネシア）を調べるため小脳評価の一部とされる。,1.0
119E17,最も多くの遺伝子を含む染色体はどれか。 ,a. 1番染色体 | b. 16番染色体 | c. 18番染色体 | d. 21番染色体 | e. X染色体,False,a,人間の染色体の中で最も多くの遺伝子を含んでいるのは1番染色体であることが知られている。1番染色体は他の染色体と比べて大きく、遺伝子の数が多い。,0.9,a,"1番染色体は人間の染色体の中で最大のもので、約2,000-3,000個の遺伝子を含んでおり、他のどの染色体よりも多くの遺伝子を保持しています。サイズも約249メガベース対と最大で、遺伝子密度も高いことが知られています。",0.95,a,一般的に、染色体番号が小さいほどサイズが大きく、遺伝子数も多い。1番染色体が最も大きい染色体であり、最も多くの遺伝子を含む。,1.0,a,1番染色体はヒト染色体の中で最大であり、最も多くの遺伝子を含むため。,0.9,a,1番染色体はヒトの染色体中で最も大きく、多くの遺伝子を含むため。,1.0
119E18,皮膚開放創の消毒に用いることができるのはどれか。 ,a. エタノール | b. グルタールアルデヒド | c. 次亜塩素酸ナトリウム | d. ポビドンヨード | e. ホルマリン,False,d,皮膚開放創の消毒に適した薬剤は、刺激が少なく、殺菌作用があるものが望ましい。エタノールは皮膚を刺激するため不適切であり、グルタールアルデヒドとホルマリンは強力な消毒剤であるが、外用には適していない。次亜塩素酸ナトリウムも腐食性があるため適さない。ポビドンヨードは皮膚への刺激が少なく、適切な消毒剤であるため、開放創の消毒に用いることができる。,0.9,d,ポビドンヨードは皮膚開放創の消毒に最適で、広い抗菌スペクトルを持ち、組織毒性が低く、創傷治癒を阻害しにくいです。他の選択肢は、エタノールは組織を刺激し、グルタールアルデヒド、次亜塩素酸ナトリウム、ホルマリンは強い組織毒性があり開放創には不適切です。,0.9,d,ポビドンヨードは皮膚や粘膜の消毒に広く用いられる。エタノールは刺激が強く、開放創には適さない。グルタールアルデヒド、次亜塩素酸ナトリウム、ホルマリンは毒性が強く、皮膚の消毒には通常用いられない。,0.9,d,ポビドンヨードは開放創の皮膚消毒に使用可能な代表的な消毒薬であるため。,1.0,d,ポビドンヨードは、開放創にも使用できる抗菌作用を持ち、かつ組織への刺激が比較的少ないため、傷口の消毒に適している。エタノールは正常皮膚の消毒には用いられるが、開放創には強い刺激性がある。グルタールアルデヒドは器具消毒用で、次亜塩素酸ナトリウムやホルマリンは傷口には毒性が強いため使用されない。,1.0
119E19,幻覚を強く示唆する患者の発言はどれか。 ,a. 「(人から見られている場面で)とても緊張します」 | b. 「(道を歩きながら)知らない人が私を見て笑うのです」 | c. 「(通常の食事をしながら)砂を噛んでいるように感じます」 | d. 「(天井のしみを見ながら)あれは私を殺そうとしているサインです」 | e. 「(鳴っていない携帯電話を見せながら)今もこの電話の着信音がやまないのです」,False,e,幻覚とは実際には存在しないものが知覚されることを指します。eは、実際には鳴っていない携帯電話の着信音が聞こえているという発言であり、これは聴覚幻覚を示唆しているため、最も幻覚を示唆する発言です。他の選択肢は誤った解釈や錯覚の可能性があるが、直接的な幻覚とは言えません。,1.0,e,幻覚とは、実際の外的刺激がないにもかかわらず知覚体験が生じる状態です。選択肢eは、実際には鳴っていない携帯電話の着信音が聞こえるという幻聴の典型例です。他の選択肢は、bは被害関係念慮、cは体感異常、dは妄想的解釈、aは社交不安を示唆する症状です。,0.9,e,幻聴を示唆する発言であるため。,0.9,e,実際には鳴っていない電話の着信音が聞こえているという発言は聴覚幻覚を示唆するため。,1.0,e,患者が鳴っていない携帯電話を見せながら「今もこの電話の着信音がやまないのです」と述べた発言は、実際には存在しない音を知覚しているため、明確に幻聴（聴覚的幻覚）を示唆しています。,1.0
119E20,鼠径部レベル以下の全感覚消失の脊髄損傷レベルはどれか。 ,a. 第4頸髄 | b. 第5胸髄 | c. 第10胸髄 | d. 第1腰髄 | e. 脊髄円錐部,False,c,鼠径部レベルの感覚は、通常第10胸髄レベル（t10）と関連しており、このレベル以下の損傷で感覚消失が生じます。したがって、鼠径部レベル以下の感覚消失は第10胸髄の損傷と一致します。,0.9,c,"鼠径部（そけいぶ）は概ねt10（第10胸髄）の皮膚分節（デルマトーム）に相当します。t10より上位の損傷では、その高位以下の感覚が消失するため、鼠径部以下の全感覚消失を来すのはt10の損傷となります。t10より下位（d,e）では鼠径部の感覚は保たれ、より上位（a,b）では鼠径部より上の部分も感覚が消失します。",0.9,e,鼠径部はl1レベルであるため、それ以下の全感覚消失は脊髄円錐部の損傷が考えられる。,1.0,d,一般にt10は臍レベル，t12～l1が鼠径部レベルに相当し，選択肢ではl1が最も鼠径部に対応するため。,0.9,c,鼠径部（inguinal region）の感覚はt12～l1に相当しますが、脊髄損傷では感覚消失部位が実際の損傷部位より2セグメント下方となるため、鼠径部レベル（t12～l1）の全感覚消失は、脊髄損傷レベルがt10であることを示唆します。,0.95
119E21,喀痰検体で質が低いのはどれか。 ,a. うがいをした後に採取した検体 | b. 喀痰の膿性部分が入っている検体 | c. 食塩水吸入で誘発して採取した検体 | d. Gram染色の鏡検で白血球が多い検体 | e. Gram染色の鏡検で上皮細胞が多い検体,False,e,喀痰検体の質の評価において、上皮細胞が多い検体は唾液の混入が多く、質が低いとされます。これに対し、白血球が多い検体は感染を反映しており、質が良いと判断されます。そのため、選択肢eが質の低い検体と考えられます。,0.9,e,喀痰検体の質の評価において、上皮細胞が多い検体は唾液の混入が多く、下気道由来の検体として不適切です。良質な喀痰検体は、下気道由来の白血球や膿性部分を含み、上皮細胞（口腔内の細胞）が少ないものとされています。,0.9,e,喀痰検査において、上皮細胞が多い検体は、喀痰ではなく唾液の混入が疑われ、質が低いと判断される。,1.0,e,gram染色で上皮細胞が多く認められる検体は口腔内からの唾液混入が多く、質の低い痰検体と判断されるため。,0.9,e,gram染色で上皮細胞が多いというのは、口腔内由来の細胞が多く混入していることを示し、下気道の喀痰ではなく、質の低い検体と判断されるため。,1.0
119E22,生活習慣の改善を促すために有効なアプローチはどれか。 ,a. 解釈モデルを確認する。 | b. 行動目標は医師主導で設定する。 | c. 患者が不安になる情報提供は控える。 | d. 専門用語を積極的に用いて説明する。 | e. 標準化された指導内容を画一的に行う。,False,c,患者の不安を増すような情報提供を控え、安心させることは、生活習慣の改善に向けて患者が前向きになれるよう支援するために重要です。,0.9,a,患者の生活習慣改善には、患者自身の病気や健康に対する理解（解釈モデル）を確認し、それに基づいて介入することが効果的です。医師主導ではなく患者中心のアプローチが重要で、患者の価値観や生活背景を考慮した個別化された支援が必要です。b～eの選択肢は、一方的で画一的なアプローチであり、患者の主体性や個別性を無視しているため適切ではありません。,0.9,a,生活習慣改善には、患者自身の解釈モデル（病気や健康に対する考え方）を理解し、それに基づいてアプローチすることが重要です。,0.9,a,患者の認識や考え方を把握し、それを踏まえてサポートすることが生活習慣改善の促進に有効であるため。,1.0,a,患者が抱く健康や病気の解釈モデルを確認することで、個々の考え方に沿った具体的な生活習慣の改善指導が可能となり、効果的な行動変容を促せるため。,1.0
119E23,ある検査におけるReceiver Operating Characteristic〈ROC〉曲線(別冊No.2)を別に示す。これを参考にカットオフ値を設定することとした。偽陰性率が最も低いのはどれか。 ,a. 1 | b. 2 | c. 3 | d. 4 | e. 5,True,a,偽陰性率が最も低い点は、感度が最も高い点です。このroc曲線では、感度が最も高いのは点1です。,0.9,e,roc曲線において、偽陰性率は1-感度（縦軸）で表されます。カットオフ値5の位置では感度が最も高く（約0.95）、したがって偽陰性率（1-0.95=0.05）が最も低くなります。他のカットオフ値と比較して、点5の位置が最も縦軸の上方にあることから、これが正解となります。,0.9,a,偽陰性率は (1 - 感度) で表される。roc曲線において、最も左上に近い点ほど感度が高く、偽陰性率は低くなる。したがって、選択肢の中で最も左上にある点である1が偽陰性率が最も低い。,1.0,a,偽陰性率は (1 − 感度) に相当し，感度が最も高い①で偽陰性率が最も低くなるため。,1.0,a,roc曲線においては、検査陽性と判定されるためのしきい値が低いほど感度が向上し、偽陰性率（＝1－感度）が低下します。したがって、選択肢の中ではカットオフ値1が最も偽陰性率が低いと考えられます。,1.0
119E24,ある患者の処方箋(別冊No.3)を別に示す。この患者が1日に服用する錠剤の個数はどれか。 ,a. 1 | b. 2 | c. 3 | d. 4 | e. 5,True,e,処方された2種類の薬の1日当たりの服用総数を計算した結果、5錠となる。,1.0,d,一般的な処方箋問題では、1日の服用回数と1回の服用量から総数を計算します。典型的なパターンとして、1日2-3回の服用で、1回1-2錠というケースが多く、合計で4錠となることが多いため、4錠を選択しました。ただし、実際の処方箋が確認できないため、確信度は中程度としています。,0.6,e,,1.0,e,フロセミド10mg錠2錠/日＋ベラパミル塩酸塩40mg錠3錠/日 = 1日合計5錠,1.0,c,処方箋（別冊no.3）の内容から、1回の服用量が1錠で、1日に3回服用するよう指示されているため、1日あたりの錠剤数は3となります。,1.0
