question_number,model,model_answer,correct_answer,is_correct,confidence,block
119A58,gemini-2.5-pro,c,c,True,1.0,A
119A59,gemini-2.5-pro,a,a,True,1.0,A
119A60,gemini-2.5-pro,a,a,True,1.0,A
119A61,gemini-2.5-pro,b,b,True,0.95,A
119A62,gemini-2.5-pro,e,e,True,1.0,A
119A63,gemini-2.5-pro,d,d,True,1.0,A
119A64,gemini-2.5-pro,b,b,True,0.9,A
119A65,gemini-2.5-pro,c,c,True,0.95,A
119A66,gemini-2.5-pro,d,d,True,1.0,A
119A67,gemini-2.5-pro,e,e,True,1.0,A
119A68,gemini-2.5-pro,b,b,True,1.0,A
119A69,gemini-2.5-pro,e,e,True,1.0,A
119A70,gemini-2.5-pro,ae,ae,True,1.0,A
119A71,gemini-2.5-pro,ae,ae,True,1.0,A
119A72,gemini-2.5-pro,ce,ce,True,0.95,A
119A73,gemini-2.5-pro,be,be,True,1.0,A
119A74,gemini-2.5-pro,ab,ab,True,1.0,A
119A75,gemini-2.5-pro,+600,600,False,1.0,A
119C1,gemini-2.5-pro,b,b,True,0.9,C
119C2,gemini-2.5-pro,d,d,True,0.9,C
119C3,gemini-2.5-pro,e,e,True,1.0,C
119C4,gemini-2.5-pro,d,d,True,1.0,C
119C5,gemini-2.5-pro,b,b,True,1.0,C
119C6,gemini-2.5-pro,d,d,True,0.8,C
119C7,gemini-2.5-pro,e,e,True,1.0,C
119C8,gemini-2.5-pro,d,d,True,1.0,C
119C9,gemini-2.5-pro,c,c,True,1.0,C
119C10,gemini-2.5-pro,d,d,True,0.9,C
119C11,gemini-2.5-pro,e,e,True,1.0,C
119C12,gemini-2.5-pro,e,e,True,1.0,C
119C13,gemini-2.5-pro,b,b,True,1.0,C
119C14,gemini-2.5-pro,e,e,True,1.0,C
119C15,gemini-2.5-pro,e,e,True,1.0,C
119C16,gemini-2.5-pro,a,a,True,0.5,C
119C17,gemini-2.5-pro,d,d,True,1.0,C
119C18,gemini-2.5-pro,a,a,True,0.0,C
119C19,gemini-2.5-pro,d,d,True,1.0,C
119C20,gemini-2.5-pro,c,c,True,1.0,C
119C21,gemini-2.5-pro,e,e,True,1.0,C
119C22,gemini-2.5-pro,e,e,True,1.0,C
119C23,gemini-2.5-pro,d,d,True,1.0,C
119C24,gemini-2.5-pro,e,e,True,1.0,C
119C25,gemini-2.5-pro,c,c,True,1.0,C
119C26,gemini-2.5-pro,e,e,True,1.0,C
119C27,gemini-2.5-pro,a,a,True,1.0,C
119C28,gemini-2.5-pro,e,e,True,1.0,C
119C29,gemini-2.5-pro,e,e,True,1.0,C
119C30,gemini-2.5-pro,d,d,True,1.0,C
119C31,gemini-2.5-pro,e,e,True,1.0,C
119C32,gemini-2.5-pro,be,be,True,0.9,C
119C33,gemini-2.5-pro,be,be,True,1.0,C
119C34,gemini-2.5-pro,ab,ab,True,1.0,C
119C35,gemini-2.5-pro,bde,bde,True,0.9,C
119C36,gemini-2.5-pro,d,d,True,1.0,C
119C37,gemini-2.5-pro,d,d,True,1.0,C
119C38,gemini-2.5-pro,e,e,True,0.9,C
119C39,gemini-2.5-pro,a,a,True,0.9,C
119C40,gemini-2.5-pro,c,c,True,0.95,C
119C41,gemini-2.5-pro,c,c,True,1.0,C
119C42,gemini-2.5-pro,a,a,True,0.9,C
119C43,gemini-2.5-pro,b,b,True,1.0,C
119C44,gemini-2.5-pro,b,b,True,1.0,C
119C45,gemini-2.5-pro,a,a,True,1.0,C
119C46,gemini-2.5-pro,a,a,True,0.9,C
119C47,gemini-2.5-pro,d,d,True,0.9,C
119C48,gemini-2.5-pro,c,c,True,1.0,C
119C49,gemini-2.5-pro,d,d,True,0.95,C
119C50,gemini-2.5-pro,c,c,True,1.0,C
119C51,gemini-2.5-pro,e,e,True,1.0,C
119C52,gemini-2.5-pro,d,d,True,1.0,C
119C53,gemini-2.5-pro,a,a,True,1.0,C
119C54,gemini-2.5-pro,c,c,True,0.95,C
119C55,gemini-2.5-pro,e,e,True,0.9,C
119C56,gemini-2.5-pro,b,b,True,1.0,C
119C57,gemini-2.5-pro,e,e,True,1.0,C
119C58,gemini-2.5-pro,ad,ad,True,0.9,C
119C59,gemini-2.5-pro,a,a,True,1.0,C
119C60,gemini-2.5-pro,d,d,True,1.0,C
119C61,gemini-2.5-pro,b,b,True,1.0,C
119C62,gemini-2.5-pro,c,c,True,1.0,C
119C63,gemini-2.5-pro,e,e,True,1.0,C
119C64,gemini-2.5-pro,a,a,True,1.0,C
119C65,gemini-2.5-pro,b,b,True,1.0,C
119C66,gemini-2.5-pro,e,e,True,1.0,C
119C67,gemini-2.5-pro,d,d,True,1.0,C
119C68,gemini-2.5-pro,a,a,True,0.9,C
119C69,gemini-2.5-pro,e,e,True,0.9,C
119C70,gemini-2.5-pro,e,e,True,1.0,C
119C71,gemini-2.5-pro,a,a,True,1.0,C
119C72,gemini-2.5-pro,c,c,True,1.0,C
119C73,gemini-2.5-pro,a,a,True,0.9,C
119C74,gemini-2.5-pro,36,36,True,1.0,C
119C75,gemini-2.5-pro,27,27,True,1.0,C
119D1,gemini-2.5-pro,d,d,True,1.0,D
119D2,gemini-2.5-pro,b,b,True,1.0,D
119D3,gemini-2.5-pro,c,c,True,1.0,D
119D4,gemini-2.5-pro,b,b,True,1.0,D
119D5,gemini-2.5-pro,e,e,True,1.0,D
119D6,gemini-2.5-pro,c,c,True,1.0,D
119D7,gemini-2.5-pro,d,d,True,0.9,D
119D8,gemini-2.5-pro,b,b,True,0.9,D
119D9,gemini-2.5-pro,a,a,True,0.9,D
119D10,gemini-2.5-pro,d,d,True,1.0,D
119D11,gemini-2.5-pro,d,d,True,1.0,D
119D12,gemini-2.5-pro,cd,cd,True,1.0,D
119D13,gemini-2.5-pro,ab,ab,True,1.0,D
119D14,gemini-2.5-pro,be,be,True,1.0,D
119D15,gemini-2.5-pro,bcd,bcd,True,1.0,D
119D16,gemini-2.5-pro,d,a,False,1.0,D
119D17,gemini-2.5-pro,e,e,True,0.9,D
119D18,gemini-2.5-pro,e,e,True,1.0,D
119D19,gemini-2.5-pro,b,b,True,0.9,D
119D20,gemini-2.5-pro,a,a,True,1.0,D
119D21,gemini-2.5-pro,c,c,True,0.9,D
119D22,gemini-2.5-pro,c,c,True,1.0,D
119D23,gemini-2.5-pro,e,e,True,0.9,D
119D24,gemini-2.5-pro,d,d,True,1.0,D
119D25,gemini-2.5-pro,c,c,True,1.0,D
119D26,gemini-2.5-pro,c,c,True,1.0,D
119D27,gemini-2.5-pro,b,b,True,0.9,D
119D28,gemini-2.5-pro,e,e,True,0.9,D
119D29,gemini-2.5-pro,c,c,True,1.0,D
119D30,gemini-2.5-pro,e,e,True,1.0,D
119D31,gemini-2.5-pro,c,c,True,0.9,D
119D32,gemini-2.5-pro,c,c,True,1.0,D
119D33,gemini-2.5-pro,d,d,True,1.0,D
119D34,gemini-2.5-pro,e,e,True,1.0,D
119D35,gemini-2.5-pro,b,b,True,1.0,D
119D36,gemini-2.5-pro,e,e,True,0.95,D
119D37,gemini-2.5-pro,d,d,True,0.9,D
119D38,gemini-2.5-pro,e,e,True,0.95,D
119D39,gemini-2.5-pro,e,e,True,1.0,D
119D40,gemini-2.5-pro,a,a,True,1.0,D
119D41,gemini-2.5-pro,c,c,True,1.0,D
119D42,gemini-2.5-pro,d,d,True,1.0,D
119D43,gemini-2.5-pro,e,e,True,0.95,D
119D44,gemini-2.5-pro,b,b,True,1.0,D
119D45,gemini-2.5-pro,d,d,True,1.0,D
119D46,gemini-2.5-pro,e,e,True,1.0,D
119D47,gemini-2.5-pro,e,e,True,0.9,D
119D48,gemini-2.5-pro,e,e,True,0.95,D
119D49,gemini-2.5-pro,e,e,True,1.0,D
119D50,gemini-2.5-pro,b,b,True,1.0,D
119D51,gemini-2.5-pro,b,b,True,1.0,D
119D52,gemini-2.5-pro,a,a,True,0.9,D
119D53,gemini-2.5-pro,d,d,True,0.95,D
119D54,gemini-2.5-pro,c,c,True,0.9,D
119D55,gemini-2.5-pro,c,c,True,1.0,D
119D56,gemini-2.5-pro,d,d,True,1.0,D
119D57,gemini-2.5-pro,d,d,True,1.0,D
119D58,gemini-2.5-pro,e,e,True,0.95,D
119D59,gemini-2.5-pro,c,d,False,0.9,D
119D60,gemini-2.5-pro,c,c,True,1.0,D
119D61,gemini-2.5-pro,c,c,True,1.0,D
119D62,gemini-2.5-pro,e,e,True,1.0,D
119D63,gemini-2.5-pro,b,b,True,1.0,D
119D64,gemini-2.5-pro,e,e,True,0.9,D
119D65,gemini-2.5-pro,c,c,True,0.9,D
119D66,gemini-2.5-pro,b,b,True,1.0,D
119D67,gemini-2.5-pro,d,d,True,0.9,D
119D68,gemini-2.5-pro,d,d,True,0.95,D
119D69,gemini-2.5-pro,b,b,True,1.0,D
119D70,gemini-2.5-pro,be,be,True,1.0,D
119D71,gemini-2.5-pro,be,be,True,1.0,D
119D72,gemini-2.5-pro,bc,bc,True,1.0,D
119D73,gemini-2.5-pro,bc,bc,True,1.0,D
119D74,gemini-2.5-pro,bc,bc,True,0.95,D
119D75,gemini-2.5-pro,abc,abc,True,1.0,D
119F1,gemini-2.5-pro,a,a,True,1.0,F
119F2,gemini-2.5-pro,a,a,True,1.0,F
119F3,gemini-2.5-pro,d,d,True,0.95,F
119F4,gemini-2.5-pro,a,a,True,1.0,F
119F5,gemini-2.5-pro,e,e,True,1.0,F
119F6,gemini-2.5-pro,e,e,True,1.0,F
119F7,gemini-2.5-pro,a,a,True,1.0,F
119F8,gemini-2.5-pro,a,a,True,1.0,F
119F9,gemini-2.5-pro,b,b,True,1.0,F
119F10,gemini-2.5-pro,b,b,True,0.9,F
119F11,gemini-2.5-pro,e,e,True,1.0,F
119F12,gemini-2.5-pro,d,d,True,1.0,F
119F13,gemini-2.5-pro,c,c,True,1.0,F
119F14,gemini-2.5-pro,c,c,True,1.0,F
119F15,gemini-2.5-pro,d,d,True,1.0,F
119F16,gemini-2.5-pro,b,b,True,1.0,F
119F17,gemini-2.5-pro,b,b,True,0.9,F
119F18,gemini-2.5-pro,c,c,True,1.0,F
119F19,gemini-2.5-pro,c,c,True,1.0,F
119F20,gemini-2.5-pro,b,b,True,1.0,F
119F21,gemini-2.5-pro,e,e,True,1.0,F
119F22,gemini-2.5-pro,b,b,True,1.0,F
119F23,gemini-2.5-pro,e,e,True,0.9,F
119F24,gemini-2.5-pro,e,e,True,1.0,F
119F25,gemini-2.5-pro,a,a,True,1.0,F
119F26,gemini-2.5-pro,a,a,True,1.0,F
119F27,gemini-2.5-pro,a,a,True,1.0,F
119F28,gemini-2.5-pro,bd,bd,True,0.95,F
119F29,gemini-2.5-pro,ab,ab,True,1.0,F
119F30,gemini-2.5-pro,ac,ac,True,0.95,F
119F31,gemini-2.5-pro,ad,ad,True,1.0,F
119F32,gemini-2.5-pro,ce,ce,True,0.9,F
119F33,gemini-2.5-pro,ae,ae,True,1.0,F
119F34,gemini-2.5-pro,bce,bce,True,1.0,F
119F35,gemini-2.5-pro,bde,bde,True,1.0,F
119F36,gemini-2.5-pro,d,d,True,1.0,F
119F37,gemini-2.5-pro,b,b,True,0.9,F
119F38,gemini-2.5-pro,e,e,True,1.0,F
119F39,gemini-2.5-pro,c,c,True,1.0,F
119F40,gemini-2.5-pro,a,a,True,1.0,F
119F41,gemini-2.5-pro,c,c,True,0.9,F
119F42,gemini-2.5-pro,c,c,True,1.0,F
119F43,gemini-2.5-pro,a,a,True,1.0,F
119F44,gemini-2.5-pro,e,e,True,1.0,F
119F45,gemini-2.5-pro,d,d,True,0.9,F
119F46,gemini-2.5-pro,a,a,True,0.9,F
119F47,gemini-2.5-pro,b,c,False,1.0,F
119F48,gemini-2.5-pro,e,e,True,1.0,F
119F49,gemini-2.5-pro,d,d,True,1.0,F
119F50,gemini-2.5-pro,c,c,True,1.0,F
119F51,gemini-2.5-pro,c,c,True,1.0,F
119F52,gemini-2.5-pro,a,a,True,1.0,F
119F53,gemini-2.5-pro,a,a,True,0.95,F
119F54,gemini-2.5-pro,d,d,True,1.0,F
119F55,gemini-2.5-pro,d,d,True,0.95,F
119F56,gemini-2.5-pro,be,be,True,1.0,F
119F57,gemini-2.5-pro,bd,bd,True,0.9,F
119F58,gemini-2.5-pro,bc,bc,True,0.9,F
119F59,gemini-2.5-pro,bc,bc,True,0.9,F
119F60,gemini-2.5-pro,de,de,True,1.0,F
119F61,gemini-2.5-pro,cd,cd,True,1.0,F
119F62,gemini-2.5-pro,c,c,True,1.0,F
119F63,gemini-2.5-pro,a,a,True,1.0,F
119F64,gemini-2.5-pro,e,e,True,1.0,F
119F65,gemini-2.5-pro,c,c,True,1.0,F
119F66,gemini-2.5-pro,cd,cd,True,1.0,F
119F67,gemini-2.5-pro,ae,ce,False,0.8,F
119F68,gemini-2.5-pro,c,c,True,0.9,F
119F69,gemini-2.5-pro,d,d,True,1.0,F
119F70,gemini-2.5-pro,b,b,True,1.0,F
119F71,gemini-2.5-pro,d,e,False,0.9,F
119F72,gemini-2.5-pro,b,b,True,1.0,F
119F73,gemini-2.5-pro,e,e,True,1.0,F
119F74,gemini-2.5-pro,d,d,True,1.0,F
119F75,gemini-2.5-pro,40,40,True,1.0,F
