question_number,question_text,choices,o1_answer,o1_explanation,o1_confidence,gpt-4o_answer,gpt-4o_explanation,gpt-4o_confidence,o3-mini_answer,o3-mini_explanation,o3-mini_confidence,gemini_answer,gemini_explanation,gemini_confidence,deepseek_answer,deepseek_explanation,claude_answer,claude_explanation,claude_confidence,deepseek_confidence
119A26,"60歳の女性。心窩部痛を主訴に来院した。昨夜、大量飲酒後に激しい心窩部痛があり、軽快しないため受診した。生来健康である。飲酒は焼酎4合/日を30年間。意識は清明。体温37.2℃。脈拍100/分、整。血圧160/92mmHg。呼吸数20/分。腸雑音は減弱している。心窩部に圧痛を認めるが反跳痛や筋性防御を認めない。血液所見:赤血球420万、Hb12.2g/dL、Ht38%、白血球12,800、血小板22万。血液生化学所見:総蛋白6.8g/dL、アルブミン4.2g/dL、総ビリルビン1.0mg/dL、直接ビリルビン0.4mg/dL、AST40U/L、ALT62U/L、LD240U/L(基準124~222)、アミラーゼ2,048U/L(基準44~132)、尿素窒素22mg/dL、クレアチニン1.1mg/dL、Na136mEq/L、K4.0mEq/L、Cl104mEq/L。CRP1.6mg/dL.この患者で重症度判定に必要な画像検査はどれか。 ",a. 腹部造影CT | b. 腹部超音波検査 | c. 超音波内視鏡検査 | d. 磁気共鳴胆管管撮影〈MRCP〉 | e. 内視鏡的逆行性胆管膵管造影〈ERCP〉,a,急性膵炎の重症度判定には造影ctが推奨されており、膵の壊死や合併症の有無などを評価するために有用である。,1.0,a,この患者は急性膵炎が疑われます。急性膵炎の重症度判定のためには腹部造影ctが重要です。造影ctによって膵臓の腫大や周囲の炎症、坏死の有無を評価できるからです。その他の選択肢は診断には役立つかもしれませんが、重症度判定としてはctが最も適しています。,0.9,a,この患者は大量飲酒後の激しい心窩部痛とアミラーゼの著明な上昇から急性膵炎が疑われる。急性膵炎の重症度判定には、膵実質の壊死や周囲炎症、液体貯留の評価が可能な腹部造影ctが最適であるため。,1.0,a,急性膵炎が疑われ、重症度判定には造影ctが有用である。重症度判定にはmodified ct severity index (mctsi)が用いられる。,0.9,ERROR,Expecting value: line 1 column 1 (char 0),a,この症例は急性膵炎が強く疑われます（アミラーゼ高値、飲酒歴、典型的な症状）。急性膵炎の重症度判定には造影ctが最も有用です。造影ctでは、膵臓の造影不良域（壊死）の有無や程度、炎症の広がり、腹水の有無などを評価でき、予後予測に重要な情報が得られます。他の検査は診断には有用かもしれませんが、重症度判定という観点では造影ctが最適です。,0.9,
119A27,"45歳の男性。飲酒の量が多いのではないかと心配した妻に連れられて来院した。初回飲酒は20歳、次第に飲酒回数と量が増え、30歳ごろから連日飲酒するようになった。最近数か月間の飲酒量は、日本酒1升/日で会社に行くことができなくなっていたという。診察時、アルコール臭が強く意識がもうろうとしている。身長175cm、体重58kg。脈拍80/分、整。血圧140/82mmHg。眼球運動障害と失調性歩行を認める。血液所見:赤血球368万、Hb10.9g/dL、Ht37%、白血球3,800、血小板11万。血液生化学所見:総蛋白5.5g/dL、アルブミン2.9g/dL、総ビリルビン1.2mg/dL、直接ビリルビン0.6mg/dL、AST88U/L、ALT76U/L、LD177U/L(基準124~222)、ALP103U/L(基準38~113)、Y-GT302U/L(基準13~64)、アミラーゼ135U/L(基準44~132)、CK342U/L(基準59~248)、アンモニア40μg/dL(基準18~48)、尿素窒素12mg/dL、クレアチニン0.6mg/dL、尿酸10.9mg/dL、血糖88mg/dL、HbAlc6.1%(基準4.9~6.0)、Na131mEq/L.K4.4mEq/L,C197mEq/L.追加の血液検査結果を待たずに、この患者に投与すべきなのはどれか。 ",a. 亜鉛 | b. 鉄剤 | c. 葉酸 | d. ビタミンD | e. ビタミンB1,e,意識障害、眼球運動障害、運動失調はウェルニッケ脳症が疑われ、ビタミンb1の補充が必要であるため。,1.0,e,患者は慢性的な大量飲酒により、ビタミンb1（チアミン）欠乏症を引き起こすリスクがあります。眼球運動障害と失調性歩行は、ウェルニッケ脳症に関連する症状で、これはビタミンb1の欠乏が原因です。したがって、まずビタミンb1を投与するべきです。,1.0,e,この患者は長期大量飲酒によるビタミンb1欠乏が疑われ、眼球運動障害・失調性歩行・意識障害などウェルニッケ脳症の特徴が認められるため、追加検査結果を待たずに早急にビタミンb1の補給が必要となる。,1.0,e,患者はウェルニッケ脳症を示唆する眼球運動障害と失調性歩行を認める。また、長年の大量飲酒歴と意識障害もウェルニッケ脳症を疑う根拠となる。ウェルニッケ脳症の治療にはビタミンb1（チアミン）の投与が不可欠である。,1.0,ERROR,Expecting value: line 1 column 1 (char 0),e,この患者はアルコール依存症で、大量飲酒の状態が続いています。眼球運動障害と失調性歩行は、アルコール多飲によるビタミンb1欠乏症（ウェルニッケ脳症）を強く示唆する症状です。ウェルニッケ脳症は致死的な合併症となり得るため、症状が疑われた時点で診断的治療としてビタミンb1の即時投与が必要です。他の選択肢も慢性アルコール症では不足する可能性がありますが、緊急性はビタミンb1が最も高いと判断されます。,0.9,
119A28,"70歳の男性。発熱と喀痰を主訴に来院した。7日前に発熱が出現し、自宅近くの診療所を受診したところインフルエンザと診断された。治療によって一旦は解熱したが、昨日から再び発熱したため受診した。既往歴に糖尿病がある。意識は清明。体温38.9℃。脈拍120/分、整。血圧90/62mmHg。呼吸数28/分。SpO292%(roomair)。呼吸音は胸部全体でcoarse cracklesを聴取する。血液所見:赤血球466万、Hb13.9g/dL、Ht47%、白血球19,300(桿状核好中球5%、分葉核好中球83%、好酸球1%、好塩基球0%、単球1%、リンパ球10%)、血小板26万。血液生化学所見:血糖180mg/dL、HbAlc8.2%(基準4.9~6.0)。CRP15mg/dL。胸部単純CT(別冊No.9A)と喀痰Gram染色標本(別冊No.9B)を別に示す。血液培養検査でも同じ微生物が検出された。原因微生物はどれか。 ",a. Candida albicans | b. Legionella pneumophila | c. Mycoplasma pneumoniae | d. Pseudomonas aeruginosa | e. Staphylococcus aureus,e,インフルエンザ後に重症化した肺炎であり、喀痰gram染色像のグラム陽性球菌ブドウ状配列からもstaphylococcus aureusが原因と考えられる。,1.0,e,糖尿病の既往をもち、肺炎の症状であり、再発熱して血液培養で同じ微生物が検出されたことから、一般的な病原菌であるstaphylococcus aureusによる二次感染が疑われます。また、白血球数の増加とcrpの上昇も細菌感染を支持しています。,0.9,e,インフルエンザ後の二次細菌性肺炎として、特に高齢者や糖尿病などの基礎疾患を有する患者で、staphylococcus aureusがよく原因となるため。 喀痰グラム染色標本や血液培養で同一の微生物が検出され、好中球優位の血液像とも一致する。,1.0,e,画像所見とグラム染色、血液培養の結果から、黄色ブドウ球菌肺炎が最も疑わしい。特に、インフルエンザ後の再発熱、糖尿病の既往、白血球増多、crp高値といった点も支持的である。,0.9,ERROR,Expecting value: line 1 column 1 (char 0),e,この症例は以下の特徴から黄色ブドウ球菌（s. aureus）による二次性細菌性肺炎を強く示唆します：,0.9,
119A29,"生後18時間の男児。呼吸心拍モニターのアラームが鳴ったため、診察している。在胎31週、体重1,600g、Apgarスコア7点(1分)、9点(5分)で出生した。早産と低出生体重児のためNICUに入院した。生後18時間ごろに呼吸心拍モニターのアラームが1~2分鳴ったが自然に改善した。診察中、呼吸心拍モニターのアラームは鳴っていない。体温37.0℃。心拍数140/分、整。血圧70/40mmHg。呼吸数50/分。SpO298%(roomair)。皮膚は赤く、チアノーゼは認めない。大泉門は開大している。心音と呼吸音とに異常を認めない。腹部は平坦、軟で、肝·脾を触知しない。アラームが鳴っていた時の心拍数、SpO2および胸郭の動きを記録した呼吸心拍モニター画面(別冊No.10)を別に示す。最も考えられる疾患はどれか。 ",a. Fallot四徵症 | b. 一過性多呼吸 | c. Ⅱ度房室ブロック | d. 未熟児無呼吸発作 | e. Wilson-Mikity症候群,d,早産児にみられる一過性の無呼吸発作が自然に改善しているため、未熟児無呼吸発作が最も考えられる。,0.9,d,生後早期の早産児に見られる症状として、未熟児無呼吸発作が最も考えられる。アラームが鳴っても自然に改善することがある点や診察時に特に異常がない点は、典型的な無呼吸発作のエピソードに合致している。その他の選択肢は、生後18時間の時点でのこのような症状の説明には適していない。,0.9,d,この症例は31週の早産児で、未熟児無呼吸発作に典型的なエピソード（短時間の呼吸モニターアラーム）が見られるため、他の選択肢よりも最も可能性が高いと考えられる。,1.0,d,モニター画面から、心拍数とspo2が低下し、胸郭の動きが停止していることがわかる。これは無呼吸発作を示唆する。在胎31週の早産児であることから、未熟児無呼吸発作が最も考えられる。,0.9,ERROR,Expecting value: line 1 column 1 (char 0),d,早産児(31週)で、生後18時間に一過性の呼吸・心拍モニターのアラームが鳴り、自然に改善している点が特徴的です。未熟児無呼吸発作は早産児によく見られる症状で、呼吸停止が20秒以上続くか、それより短くても徐脈やチアノーゼを伴う発作として定義されます。現在は安定していますが、モニター記録で一時的な無呼吸と心拍低下が確認できる典型的な未熟児無呼吸発作のパターンと考えられます。,0.9,
119A30,64歳の女性。空腹時の動悸と発汗を主訴に来院した。1か月前から、朝食後に外出すると、昼食前に空腹感とともに動悸、発汗および手指振戦を自覚している。これらの症状は甘いものを摂取すると改善する。既往歴に脂質異常症、耐糖能異常、慢性甲状腺炎および胆石症があり、脂質異常症に対してスタチンを内服している。身長156cm、体重62kg。体温36.2℃。脈拍72/分、整。血圧142/88mmHg。眼瞼結膜と眼球結膜とに異常を認めない。甲状腺を触知しない。心音と呼吸音とに異常を認めない。腹部は平坦、軟で、肝·脾を触知しない。血液生化学所見:AST28U/L、ALT32U/L、Y-GT72U/L(基準9~32)、血糖110mg/dL、HbAlc6.1%(基準4.9~6.0)、総コレステロール182mg/dL、トリグリセリド180mg/dL、HDLコレステロール38mg/dL、TSH1.2μU/mL(基準0.2~4.0)、FT41.4ng/dL(基準0.8~2.2)。症状の原因と関連するのはどれか。 ,a. 高血圧症 | b. 更年期障害 | c. 血糖値の異常 | d. スタチン内服 | e. 慢性甲状腺炎,c,食後の血糖値変動（耐糖能異常）による低血糖症状が原因と考えられるため。,0.9,c,患者の症状は空腹時に動悸、発汗、手指振戦があり、甘いものを摂取すると改善することから、低血糖症状を示唆しています。血糖値の異常が原因である可能性が最も高いと考えられます。hba1cは多少高めですが、空腹時の低血糖症状に合致するため、選択肢cが適切です。其他の選択肢はこれらの特定の症状を直接引き起こすとは考えにくいです。,0.9,c,この症例は、空腹時に発生する動悸、発汗、手指振戦と甘いもの摂取で改善する症状から、低血糖（血糖値の異常）が原因と考えられるため。ほかの選択肢はこれらの症状の直接的原因とは関連性が低い。,1.0,c,空腹時の動悸、発汗、手指振戦は低血糖症状であり、甘いものを摂取すると改善することから、血糖値の異常が最も関連性が高い。hba1cが基準値上限を超えていることからも、耐糖能異常が悪化し、反応性低血糖を起こしている可能性が考えられる。,1.0,ERROR,Expecting value: line 1 column 1 (char 0),c,この患者の症状（空腹時の動悸、発汗、手指振戦、甘いもので改善）は典型的な反応性低血糖の症状を示しています。hba1cが6.1%と軽度上昇していることから、耐糖能異常があり、食後の血糖値の急激な変動（上昇後の低下）が症状の原因と考えられます。特に朝食後に症状が出現し、昼食前に悪化する時間的パターンも反応性低血糖の特徴と一致します。,0.9,
119A31,"80歳の男性。胸痛を主訴に救急車で搬入された。2週間前から階段昇降で胸部絞扼感が出現していたが、3分程度の安静で改善していた。1週間前からは平地歩行でも階段昇降と同じ強度の胸部絞扼感が出現するようになった。本日は朝食後に冷汗を伴う強い胸痛を自覚し、自宅近くの診療所を受診した。12誘導心電図でST低下を指摘され、当院に救急車で搬入された。胸部症状は持続しており、12誘導心電図でST低下が持続している。糖尿病、高血圧および脂質異常症でかかりつけ医に通院中である。喫煙は20本/日を50年間。身長162cm、体重60kg。心拍数76/分、整。血圧140/60mmHg。血液所見:赤血球465万、Hb13.3g/dL、Ht42%、白血球9,600、血小板23万。血液生化学所見:CK300U/L(基準59~248)、クレアチニン0.8mg/dL、空腹時血糖141mg/dL、HbAlc7.4%(基準4.9~6.0)、トリグリセリド145mg/dL、LDLコレステロール141mg/dL。心筋トロポニンT迅速検査陽性。この患者に対する検査で適切なのはどれか。 ",a. 運動負荷心電図検査 | b. 冠動脈 | c. TC心臓MRI | d. 心臓カテーテル検査 | e. 薬物負荷心筋血流シンチグラフィ,d,不安定狭心症あるいはnstemiを疑い，症状やst低下が持続しているため，急性期には心臓カテーテル検査による直接的な冠動脈評価が必要となるため。,1.0,d,患者は急性冠症候群 (acs) を疑わせる症状を示しており、心筋トロポニンも陽性である。この場合、冠動脈の狭窄や閉塞の程度を直接評価し、適切な治療方針（例えば血管拡張やステント留置）を決定するために、心臓カテーテル検査が適切である。その他の選択肢は急性期の診断には不適切である。,0.9,d,この症例はnstemi（非st上昇型心筋梗塞）と考えられ、持続する胸痛、st低下、心筋トロポニン陽性という高リスクの状態です。急性期においては運動負荷検査や薬物負荷検査は適さず、冠動脈ctや心臓mriも現段階での診断・治療方針決定には適していません。そのため、心臓カテーテル検査（冠動脈造影）により、病変の評価と必要に応じた再vascularizationを行うことが適切です。,1.0,d,臨床症状（労作性狭心症の悪化、安静時胸痛）、心電図変化（st低下）、心筋トロポニンt陽性から、不安定狭心症または非st上昇型心筋梗塞が疑われる。緊急性の高い病態であり、診断と治療を兼ねて心臓カテーテル検査を行うのが適切である。,1.0,ERROR,Expecting value: line 1 column 1 (char 0),d,この症例は不安定狭心症から急性冠症候群への進展が強く疑われる状態（症状の増悪傾向、心電図でのst低下持続、トロポニン陽性）であり、緊急の冠動脈評価と治療が必要です。心臓カテーテル検査は診断と同時に治療（経皮的冠動脈インターベンション）も可能であり、最も適切な検査選択となります。他の非侵襲的検査は、急性期の状態では時間的余裕がなく、また運動負荷は症状を悪化させる可能性があるため適切ではありません。,0.95,
119A32,"78歳の男性。頸部リンパ節腫大を主訴に来院した。頸部リンパ節生検の結果、びまん性大細胞型B細胞リンパ腫と診断された。血液所見:赤血球470万、Hb14.1g/dL、Ht44%、白血球6,800(分葉核好中球52%、好酸球1%、好塩基球0%、単球6%、リンパ球41%)、血小板27万。血液生化学所見:総蛋白6.9g/dL、アルプミン3.8g/dL、総ビリルビン0.9mg/dL、直接ビリルビン0.2mg/dL、AST28U/L、ALT16U/L、LD243U/L(基準124~222)。免疫血清学的所見:CRP0.8mg/dL、HBs抗原陰性、HBc抗体陽性、HBs抗体陽性、HCV抗体陰性。リンパ腫の治療前に追加して測定すべき検査項目はどれか。 ",a. HBc抗原 | b. HBe抗原 | c. HBe抗体 | d. HBV-DNA定量 | e. HCV-RNA定量,d,既感染例では化学療法によるhbv再活性化のリスク評価のためにhbv-dna定量が重要であるため。,1.0,d,患者はhbc抗体陽性とhbs抗体陽性というb型肝炎ウイルス（hbv）既感染の状態にあります。びまん性大細胞型b細胞リンパ腫の治療には免疫抑制薬が用いられることがあり、hbvの再活性化リスクがあります。そのため、治療前にhbvの活動性を評価するためにhbv-dna定量を測定しておくことが重要です。,0.9,d,この患者はhbs抗原陰性でも、hbc抗体陽性およびhbs抗体陽性で、既往感染（潜在性保有）を示唆しています。免疫抑制治療実施前に、再活性化リスク評価のためにhbv-dna定量検査が推奨されるためです。,1.0,d,既往感染の可能性があるhbvの再活性化を確認するために、hbv-dna定量を行う必要がある。,1.0,ERROR,Expecting value: line 1 column 1 (char 0),d,hbc抗体陽性、hbs抗体陽性というパターンは既往のhbv感染を示唆します。リンパ腫に対する化学療法や免疫療法は免疫抑制を引き起こし、hbvの再活性化リスクがあります。そのため、治療前にhbv-dna定量検査を行い、ウイルスの存在を確認することが必要です。これはb型肝炎の再活性化予防のための重要なスクリーニング検査です。,0.9,
119A33,"75歳の男性。嘔吐を主訴に来院した。3日前から排便と排ガスがなく、徐々に腹部膨満感が出現してきた。今朝から水分もとれず、便臭を伴う嘔吐をしたため救急外来を受診した。意識は清明。体温36.9℃。脈拍112/分、整。血圧150/80mmHg。SpO298%(roomair)。眼瞼結膜は軽度貧血様である。腹部膨満を認める。腹部全体に圧痛は認めるが、反跳痛や筋性防御は認めない。血液所見:赤血球320万、Hb9.0g/dL、Ht30%、白血球9,800、血小板25万。血液生化学所見:アルブミン2.9g/dL、AST25U/L、ALT15U/L、尿素窒素25mg/dL、クレアチニン0.7mg/dL。CRP3.5mg/dL。腹部エックス線写真(別冊No.11)を別に示す。次に行うのはどれか。 ",a. FDG-PET | b. 腹部MRI | c. 腹部造影CT | d. 上部消化管内視鏡検査 | e. 下部消化管内視鏡検査,c,腸閉塞が疑われ、原因や閉塞部位を評価するために造影ctが最も有用であるため。,0.9,c,この患者は腸閉塞が疑われる症状を示しています。腹部膨満、便臭を伴う嘔吐、排便と排ガスがないことから、腸閉塞が考えられます。次に行うべきは、詳細な診断を行うための画像検査です。腹部造影ctは腸閉塞の確認や原因究明に役立つため、最適な選択肢です。他の選択肢（fdg-pet、腹部mri、内視鏡検査）はこの場合、直接的な原因の診断には直結しません。,0.9,c,この症例は、便臭を伴う嘔吐や腹部膨満、排便・排ガスの消失など腸閉塞を示唆する所見があり、腹部エックス線写真でその可能性が示唆されます。腸閉塞の原因や程度、合併症の有無を正確に評価するためには、腹部造影ctが最も有用な検査であるため、次の検査として腹部造影ctを選択します。,1.0,c,問題文から腸閉塞が疑われ、腹部エックス線写真でもそれを支持する所見があると考えられる。腸閉塞の原因や閉塞部位の特定のために、腹部造影ctが有用である。,0.9,ERROR,Expecting value: line 1 column 1 (char 0),c,この症例は腸閉塞が強く疑われます（3日間の排便・排ガスなし、腹部膨満、便臭性嘔吐）。腹部造影ctは腸閉塞の原因（腫瘍、絞扼、癒着など）、腸管の状態（壊死の有無）、閉塞部位を特定するのに最も適した検査です。また、緊急性の評価にも有用です。内視鏡検査は腸管拡張が著しい状態では穿孔のリスクがあり、まずはctでの評価が適切です。,0.9,
119A34,"65歳の男性。血痰を主訴に来院した。2年前から労作時の息苦しさと咳嗽とを自覚していたがそのままにしていた。数日前から痰に少量の血液が混じるようになったため受診した。喫煙は20本/日を45年間。意識は清明。身長172cm、体重43kg。体温37.2℃。脈拍96/分、整。血圧124/68mmHg。呼吸数20/分。SpO293%(roomair)。心音に異常を認めず、呼吸音は右胸部にcoarse cracklesを聴取する。血液所見:赤血球468万、Hb12.2g/dL、Ht37%、白血球12,300(桿状核好中球10%、分葉核好中球64%、好酸球1%、好塩基球1%、単球6%、リンパ球18%)、血小板34万。免疫血清学所見:CRP3.2mg/dL、β-Dーグルカン35pg/mL(基準10以下)。喀痰の抗酸菌塗抹検査は陰性。Sabouraud寒天培地では糸状菌が検出された。胸部単純CT(別冊No.12)を別に示す。診断はどれか。 ",a. カンジダ症 | b. アスペルギルス症 | c. クリプトコックス症 | d. ニューモシスチス肺炎 | e. アレルギー性気管支肺真菌症,b,喀痰培養で糸状菌が検出され、肺内病変と慢性経過、喀血がみられることからアスペルギルス症が最も疑われるため。,0.9,b,喀痰の抗酸菌塗抹検査は陰性であり、β-dーグルカン値が高く、糸状菌がsabouraud寒天培地で検出されていることから真菌感染を示唆しています。これに加えて、喫煙歴と右胸部のcoarse cracklesの聴取、胸部ct所見（通常アスペルギルス症は空洞病変を伴う）がアスペルギルス症を強く示唆します。アスペルギルス症は特に喫煙者や肺に基礎疾患を持つ人に多く見られます。これらの理由から診断はアスペルギルス症が最も適合します。,0.9,b,患者は高齢かつ長期喫煙による慢性肺疾患の素因があり、血痰や体重減少が見られます。sabouraud寒天培地で糸状菌が検出され、β-dーグルカンも上昇していることから、糸状菌であるアスペルギルスによる感染（アスペルギルス症）が最も疑われるため。,0.95,b,胸部ctで右胸部に空洞を伴う病変があり、喀痰培養で糸状菌が検出されていることから、アスペルギルス症が最も考えやすい。β-d-グルカンが軽度上昇していることもアスペルギルス症を支持する。,0.9,ERROR,Expecting value: line 1 column 1 (char 0),b,この症例はアスペルギルス症が最も考えられます。その根拠として：,0.9,
119A35,"48歳の女性。息切れを主訴に来院した。6か月前から労作時の息切れを自覚するようになり徐々に悪化してきた。最近は軽労作でも息切れが激しく、さらに動悸も自覚するようになったため受診した。7歳時に発熱と関節痛が続き小学校を長期間欠席した。その際に輪のような形の赤い皮疹が出現したことを記憶している。5年前に子宮体癌の手術歴がある。数日前から、う歯治療を実施している。喫煙は20歳から10本/日を5年間、以後は禁煙している。飲酒は機会飲酒。父は80歳時に急性心筋梗塞で死亡。母は78歳時に脳梗塞で死亡。意識は清明。体温36.2℃。脈拍92/分、不整。血圧124/82mmHg。呼吸数16/分。SpO295%(roomair)。軽度の頸静脈の怒張を認める。心音はⅠ音が亢進し、心尖部で拡張中期ランブルを聴取する。両肺にcoarse cracklesを聴取する。両下肢に軽度の浮腫を認める。血液所見:赤血球460万、Hb13.3g/dL、Ht42%、白血球12,800、血小板21万。血液生化学所見:CK61U/L(基準41~153)、尿素窒素12mg/dL、クレアチニン0.6mg/dL、BNP189pg/mL(基準18.4以下)。CRP0.1mg/dL。経胸壁心エコー検査の傍胸骨長軸像(別冊No.13)を別に示す。この患者の疾患の発症に関与している病歴はどれか。 ",a. 7歳時の発熱 | b. 5年前の子宮体癌 | c. 数日前のう歯治療 | d. 過去の喫煙歴 | e. 父親の心筋梗塞,a,小児期にみられた発熱や輪状紅斑などはリウマチ熱を示唆し、僧帽弁狭窄症の原因として関与していると考えられるため。,0.9,a,記述にある7歳時の発熱、関節痛、輪状の赤い皮疹は、リウマチ熱を示唆しており、リウマチ熱の既往は心臓弁膜症（特に僧帽弁狭窄症）の原因となることがある。患者の症状や身体所見（頸静脈怒張、心尖部の拡張中期ランブル、両下肢の浮腫）は、僧帽弁狭窄症の臨床像に一致する。このため、7歳時の発熱が疾患発症に関与していると判断される。,0.9,a,7歳時の発熱、関節痛、および輪状の皮疹は急性リウマチ熱の特徴であり、後にリウマチ性心疾患（特に僧帽弁狭窄）を引き起こすため。,1.0,a,7歳時の発熱と関節痛、輪状紅斑の既往から、リウマチ熱による弁膜症（僧帽弁狭窄症）が疑われる。僧帽弁狭窄症は息切れ、動悸、肺うっ血、下肢浮腫などの症状を引き起こし、心エコー検査所見とも合致する。,0.9,ERROR,Expecting value: line 1 column 1 (char 0),a,この患者は僧帽弁狭窄症の典型的な症状（労作時息切れ、動悸）を呈しており、7歳時の発熱と関節痛、環状紅斑の既往は、リウマチ熱を示唆します。リウマチ熱は、その後の僧帽弁狭窄症の最も一般的な原因となります。他の選択肢（子宮体癌、う歯治療、喫煙歴、家族歴）は、現在の心臓弁膜症との直接的な因果関係は低いと考えられます。,0.9,
119A36,"日齢12の女児。新生児マススクリーニングで異常を認めたため、両親に連れられて来院した。在胎41週、体重3,275g、Apgarスコア9点(1分)、9点(5分)で出生した。完全母乳栄養である。3日前から哺乳力が低下し、排便は2日に1回の黄色顆粒便である。来院時は活気がなく、泣き声は微弱であった。身長52cm、体重3,312g。体温36.4℃。脈拍144/分、整。血圧88/42mmHg。呼吸数48/分。SpO297%(roomair)。毛細血管再充満時間2秒。皮膚は乾燥しており、黄染を認める。大泉門は径1.5cmでやや陥凹しており、小泉門は開大している。心音と呼吸音とに異常を認めない。腹部は平坦、軟。臍ヘルニアを認める。腸雑音に異常を認めない。診断のために行うエックス線撮影の部位はどれか。 ",a. 頭蓋骨 | b. 肋骨 | c. 手根骨 | d. 腰椎 | e. 大腿骨遠位端,e,先天性甲状腺機能低下症が疑われる場合、骨成熟度を評価するために大腿骨遠位端(膝)のx線撮影を行うことが多いから。,1.0,c,この症例は新生児マススクリーニングで異常を指摘され、哺乳力低下や黄疸などの症状があり、甲状腺機能低下症（クレチン症）が疑われます。甲状腺機能低下症では、骨年齢の遅れが見られるため、手根骨のx線撮影を行い、骨成熟度を評価します。これにより、骨の発育遅延を確認することができます。,0.9,c,この女児は新生児マススクリーニングでの異常および全身所見（哺乳力低下、黄染、乾燥皮膚、陥凹した大泉門、開大した小泉門、臍ヘルニア）から先天性甲状腺機能低下症が疑われます。先天性甲状腺機能低下症では骨年齢の遅延が認められるため、最も一般的な手根骨のx線撮影により骨年齢評価を行い、診断の補助とします。,1.0,a,新生児マススクリーニング異常、哺乳力低下、便秘、活気低下、微弱な泣き声、皮膚乾燥、黄疸、大泉門陥没、小泉門開大といった所見から、甲状腺機能低下症を疑う。頭蓋骨x線撮影で骨成熟の遅れを確認することが診断の一助となる。,0.7,ERROR,Expecting value: line 1 column 1 (char 0),d,この症例は新生児マススクリーニング異常、哺乳力低下、活気不良、微弱な泣き声などの症状から先天性甲状腺機能低下症が強く疑われます。この疾患の診断には骨年齢の評価が重要で、新生児期では特に腰椎のx線撮影による骨核の出現状態の確認が有用です。腰椎の骨化核の遅延は甲状腺機能低下症の特徴的な所見となります。,0.9,
119A37,67歳の男性。労作時の息切れを主訴に来院した。1週間前から労作時の息切れ、右頸部から顔面の腫脹が出現したため自宅近くの診療所を受診した。胸部エックス線写真で右肺野に異常陰影を指摘されたため紹介受診した。胸痛や腹痛はない。意識は清明。身長168cm、体重69kg。体温36.5℃。脈拍84/分、整。血圧138/78mmHg。呼吸数18/分。SpO296%(roomair)。頸静脈の怒張を認める。両側鎖骨上窩に径1~2cmのリンパ節を複数触知する。心音と呼吸音とに異常を認めない。腹部は平坦、軟で、肝·脾を触知しない。血液所見に異常を認めない。血液生化学所見で、腎機能と肝機能に異常を認めない。ProGRP124pg/mL(基準81以下)。胸部エックス線写真(別冊No.14A)と胸部単純CT(別冊No.14B)とを別に示す。FDG-PETを施行し、右縦隔·肺門リンパ節と一塊となった腫瘤、多発肺転移および多発肝転移を認めた。気管支鏡検査を施行し腫瘤からの穿刺細胞診で小細胞肺癌と診断された。今後の対応で次に行うべきなのはどれか。 ,a. 手術による腫瘍減量 | b. 薬物による抗癌治療 | c. 肝転移への放射線治療 | d. 肺癌遺伝子異常の検索 | e. PD-L1蛋白質発現の検索,b,小細胞肺癌で多発転移を認める場合、まずは全身療法（薬物治療）が優先されるため。,1.0,b,この症例は小細胞肺癌であり、多発肺転移および多発肝転移が認められるため、手術は適応外です。小細胞肺癌は化学療法に感受性があり、初期治療として薬物による抗癌治療が優先されます。,0.9,b,小細胞癌は進行が早く全身性拡がりが認められることが多いため、局所治療である手術は適応外です。標準治療は薬物治療（プラチナ製剤＋エトポシド等）であり、遺伝子異常やpd‐l1の探索は効果的なターゲット治療が期待できないため、次の対応としては薬物治療が選択されます。,1.0,b,小細胞肺癌と診断されており、fdg-petで多発肺転移および多発肝転移を認めるため、病期は進行期。手術適応はなく、薬物による抗癌治療が第一選択となる。,1.0,ERROR,Expecting value: line 1 column 1 (char 0),b,この症例は、以下の理由から薬物による抗癌治療が最適です：,0.9,
