question_number,question_text,choices,has_image,gpt-4o_answer,gpt-4o_explanation,gpt-4o_confidence,o1_answer,o1_explanation,o1_confidence,o3-mini_answer,o3-mini_explanation,o3-mini_confidence,,,
119C11,思路障害はどれか。 ,a. 強迫観念 | b. 思考吹入 | c. 心気妄想 | d. 広場恐怖 | e. 滅裂思考,FALSE,e,思路障害は、思考の流れや組織が乱れる状態を指し、滅裂思考はその典型的な症状です。滅裂思考では、思考に一貫性がなくなり、関連性のない内容が飛び交います。他の選択肢は思路の障害というより特定の精神症状を示しています。,0.9,e,滅裂思考は思考過程が混乱しており、思路障害の代表的な所見であるため。,1.0,e,滅裂思考は思考の論理性や連続性が乱れる典型的な思路障害であり、他の選択肢（強迫観念、思考吹入、心気妄想、広場恐怖）はいずれも思考の形式的な乱れではなく、異なる精神症状に該当するため。,1.0,,,
119C12,乳児の運動発達評価のうち、微細運動を評価する所見はどれか。 ,a. 首がすわる。 | b. 手をみつめる。 | c. 寝返りをする。 | d. バイバイをする。 | e. ガラガラをつかむ。,FALSE,e,微細運動は手や指を使った細かい運動スキルの発達を指します。「ガラガラをつかむ」は手先を使った微細運動に関する行為であるため、正しい選択肢は「e. ガラガラをつかむ」です。他の選択肢は大まかな身体運動や社会的なジェスチャーに関するもので、微細運動の評価には当てはまりません。,0.9,e,ガラガラをつかむ動作が微細運動発達の評価所見にあたるため。,0.9,e,ガラガラをつかむ動作は、意図的な手の動きや握る力を伴い、乳児の微細運動（手指運動）の発達を評価する際の代表的な所見であるため。首がすわるや寝返りは粗大運動、バイバイは模倣や社会性の発達を示すため、最も適切なのはガラガラをつかむである。,1.0,,,
119C13,医療保険で利用可能なのはどれか。 ,a. 住宅改修 | b. 訪問診療 | c. 介護医療院 | d. 福祉用具貸与 | e. ショートステイ,FALSE,b,訪問診療は医療サービスの一環として提供され、医療保険でカバーされるサービスです。他の選択肢は介護保険や福祉サービスに該当するため、医療保険ではカバーされません。,1.0,b,訪問診療は医療保険の給付対象となるため。住宅改修や福祉用具貸与、ショートステイなどは介護保険の給付対象である。,1.0,b,訪問診療は医師による医療行為であり、医療保険の対象となります。他の選択肢は介護保険やその他の福祉制度の対象となるため、医療保険で利用可能なのは訪問診療のみです。,1.0,,,
119C14,感染症法に基づき就業制限の通知をできるのはどれか。 ,a. 産業医 | b. 事業者 | c. 主治医 | d. 感染症専門医 | e. 都道府県知事,FALSE,e,感染症法に基づく就業制限の通知は、通常、法的な権限を持った公的機関や担当者が行うものであり、日本の法制度では、都道府県知事がその権限を持っています。他の選択肢は、法律上、その通知を行う権限を持たないため正解ではありません。,0.9,e,感染症法上、就業制限の通知権限は都道府県知事に付与されているため。,1.0,e,感染症法において、就業制限の通知権限は公的機関に属し、都道府県知事がその権限を持っています。その他の選択肢は法的な通知権限を有していないため、正解はeとなります。,1.0,,,
119C15,正常の血清蛋白電気泳動を以下に示す。別冊No.1Cを別に示す。多発性骨髄腫でみられるM蛋白が出現する分画はどれか。,a. 1 | b. 2 | c. 3 | d. 4 | e. 5,FALSE,e,多発性骨髄腫で見られるm蛋白は、血清蛋白電気泳動のグロブリン分画に出現します。この分画は通常、最後のピークに該当し、選択肢「e. 5」に対応します。,1.0,e,m蛋白はγ-グロブリン分画に増加するため。,1.0,e,血清蛋白電気泳動では、通常1がアルブミン、2がα1グロブリン、3がα2グロブリン、4がβグロブリン、5がγグロブリンを示します。多発性骨髄腫のm蛋白は、単一の免疫グロブリンとしてγグロブリン分画に現れるため、答えはeとなります.,1.0,,,
119C16,生物濃縮を受けやすい物質の特徴はどれか。 ,a. 沸点が高い。 | b. 水溶性である。 | c. 急性毒性が強い。 | d. 化学的に不安定である。 | e. 生体内で代謝されやすい。,FALSE,a,生物濃縮を受けやすい物質は、一般的に脂溶性であり、化学的に安定で代謝されにくいものです。沸点が高い有機化合物も脂溶性であることが多く、生物体内に蓄積されやすい特徴を持つため、選択肢の中では最も適しています。,0.8,a,生物濃縮を受けやすい物質は脂溶性が高く、化学的に安定である場合が多く、結果として沸点が高いことが多い。,0.8,a,高沸点の物質は低揮発性で環境中で分解されにくいため、体内に蓄積しやすく、生物濃縮の対象となる。一方、水溶性、化学的不安定さ、及び生体内での速やかな代謝は生物濃縮を妨げる要因となる。,1.0,,,
119C17,胃から吸収されるのはどれか。 ,a. 鉄 | b. 葉酸 | c. 脂肪酸 | d. エタノール | e. グルコース,FALSE,d,胃から直接吸収されるものとしてよく知られているのはエタノールであり、他の栄養素は主に小腸で吸収されます。エタノールは胃の粘膜を通じて迅速に吸収されるため、胃の吸収に関して代表的な物質です。他の選択肢は胃ではなく小腸で主に吸収されます。,0.9,d,エタノールは胃でも吸収されるため,1.0,d,エタノールは胃および小腸で効率的に吸収されるため、胃からも吸収されます。他の選択肢は主に小腸で吸収される物質です。,1.0,,,
119C18,Which of the following diseases does NOT cause person-to-person transmission?,a. Malaria | b. Measles | c. Meningococcal meningitis | d. Pertussise | e. Syphilis,FALSE,a,Malaria is transmitted by mosquitoes (vector-borne transmission) and does not spread directly from person to person. In contrast, the other diseases listed are transmitted through direct contact, respiratory droplets, or bodily fluids.,0.95,a, マラリアは蚊による媒介が主であり、人から人への直接伝播はないため。,1.0,a,Malaria is transmitted through the bite of an infected mosquito rather than through direct person-to-person contact,1.0
119C19,母子保健法で規定されているのはどれか。 ,a. 定期予防接種 | b. 児童虐待に係る通告0人工妊娠中絶の要件 | d. 低出生体重児の届出 | e. 就学時健康診断の実施,FALSE,d,母子保健法では、妊産婦や新生児の健康管理を目的としており、特に低出生体重児の届出についても規定されています。他の選択肢はそれぞれ別の法律や制度に関連付けられているため、これが正しい答えです。,0.9,d,母子保健法では低出生体重児の届出が規定されているため。,1.0,d,母子保健法は、母子の健康管理や状況の把握を目的としており、その中には低出生体重児の届出に関する規定が含まれています。他の選択肢（定期予防接種、児童虐待や中絶の要件、就学時健康診断）は、それぞれ別の法律や制度で規定されているため、正解は「低出生体重児の届出」となります.,0.9,,,
119C20,Parkinson病の症候で、等間隔の線をまたぐ歩行訓練が有効なのはどれか。 ,a. 加速歩行 | b. 姿勢異常 | c. すくみ足 | d. 突進現象 | e. 静止時振戦,FALSE,c,等間隔の線をまたぐ歩行訓練は、パーキンソン病の患者に見られるすくみ足（フリージング）に効果的です。これは、視覚的な手掛かりを与えることで患者が一歩を踏み出しやすくなるためです。他の選択肢はこの訓練の直接的な改善対象ではありません。,0.9,c,パーキンソン病のすくみ足（freezing of gait）に対しては、床に引いた等間隔の線をまたぐ訓練が有効であるため。,0.9,c,「すくみ足」はパーキンソン病における凍結歩行の一種で、外部の視覚的な手がかり（等間隔の線）を利用することで歩行開始や歩調の安定が促され、症状の改善につながるためです。,1.0,,,
119C21,抗原提示能をもつのはどれか。 ,a. T細胞 | b. 血小板 | c. 好酸球 | d. 好中球 | e. 樹状細胞,FALSE,e,樹状細胞は、抗原提示能を持つ主要な細胞であり、抗原を捕捉してt細胞に提示する役割を担っている。t細胞、血小板、好酸球、好中球は抗原提示能を持たない。,1.0,e,プロの抗原提示細胞として最も代表的なのは樹状細胞であるため。,1.0,e,樹状細胞は主要な抗原提示細胞であり、他の選択肢であるt細胞、血小板、好酸球、好中球は通常抗原提示能を持たないため。,1.0,,,
119C22,家系図を以下に示す。別冊No.1Aを別に示す。この遺伝形式で発症する単一遺伝子病はどれか。,a. 口蓋裂 | b. 血友病A | c. Hunter症候群 | d. フェニルケトン尿症 | e. 神経線維腫症Ⅰ型〈von Recklinghausen病〉,FALSE,b,家系図は伴性劣性遺伝のパターンを示しています。血友病aはx連鎖劣性遺伝病です。,1.0,e,系譜から常染色体優性遺伝が示唆され、神経線維腫症ⅰ型が該当するため。,1.0,e,家系図から垂直性・両性への伝播が認められる自家伝性(常染色体優性)パターンと推測されるため、選択肢の中でこの形式の単一遺伝子病に該当する神経線維腫症ⅰ型〈von recklinghausen病〉が正解となる。,0.95,,,
119C23,Bell麻痺の症状で誤っているのはどれか。 ,a. 口角の下垂 | b. 前頭筋の麻痺 | c. 聴覚過敏 | d. 複視 | e. 味覚障害,FALSE,d,bell麻痺は顔面神経の麻痺であり、顔の表情筋や味覚、涙腺、唾液腺に影響を与えるが、眼球運動に関与する筋肉には影響を及ぼさないため、複視は症状として誤っている。,0.95,d,ベル麻痺では顔面神経麻痺により口角の下垂や前頭筋麻痺、聴覚過敏、味覚障害は生じるが、複視は通常みられないため。,1.0,d,bell麻痺は顔面神経（第vii脳神経）の障害によるもので、顔面の筋肉の麻痺により口角の下垂、前頭筋の麻痺、聴覚過敏（耳小骨の麻痺による）、味覚障害が起こります。一方、複視は眼球運動を司る他の脳神経の問題であり、bell麻痺の直接的な症状ではありません。,1.0,,,
119C24,持続可能な開発のための2030アジェンダ〈SDGs〉の1つであるゴール3「あらゆる年齢のすべての人々の健康的な生活を確保し、福祉を促進する」で具体的な目標となっているのはどれか。,a. 水·衛生へのアクセス | b. 国内および国家間の不平等の是正 | c. 社会的な健康規定要因への取り組み | d. グローバル·パートナーシップの活性化 | e. ユニバーサル·ヘルス·カバレッジ〈UHC〉の達成,FALSE,e,sdgsのゴール3は「あらゆる年齢のすべての人々の健康的な生活を確保し、福祉を促進する」という目標であり、その具体的な目標にはユニバーサル・ヘルス・カバレッジ（uhc）の達成が含まれています。このため、選択肢eが正解です。他の選択肢はsdgsの他のゴールに関連しています。,0.9,e,ゴール3の目標にはユニバーサル・ヘルス・カバレッジ（uhc）の達成が含まれるため。,1.0,e,ゴール3では「あらゆる年齢のすべての人々の健康的な生活を確保し、福祉を促進する」ために、ユニバーサル・ヘルス・カバレッジ（uhc）の達成が具体的な目標の一つとして明記されているためです。,1.0,,,
119C25,(ア)とは、障害者が健常者と同じように家庭や地域で共に生活することを目指す理念である。その手段として物理的、社会的障壁の除去を目的とする(イ)、障害の有無にかかわらず誰もが快適な環境を目指す(ウ)などがある。ア~ウの組合せで正しいのはどれか。 ,a. (ア)リハビリテーション (イ)バリアフリー (ウ)ノーマライゼーション | b. (ア)リハビリテーション (イ)ユニバーサルデザイン (ウ)バリアフリー | c. (ア)ノーマライゼーション (イ)バリアフリー (ウ)ユニバーサルデザイン | d. (ア)ノーマライゼーション (イ)ユニバーサルデザイン (ウ)バリアフリー | e. (ア)リハビリテーション (イ)ユニバーサルデザイン (ウ)ノーマライゼーション,FALSE,c,"""ノーマライゼーション""は、障害者が健常者と共に生活することを目指す理念です。""バリアフリー""は物理的、社会的障壁の除去を目的とし、""ユニバーサルデザイン""は誰もが快適に過ごせる環境を目指します。この組み合わせに合致するのは選択肢cです。",1.0,c,(ア)はノーマライゼーション、(イ)はバリアフリー、(ウ)はユニバーサルデザインの組合せが正しいため。,1.0,c,(ア)は障害者が地域で共に生活することを目指す理念であり、これはノーマライゼーションに該当する。(イ)は物理的・社会的障壁の除去を目的とするためバリアフリー、(ウ)は障害の有無にかかわらず快適な環境を提供するユニバーサルデザインが正しい組み合わせとなる。,1.0,,,
119C26,自己抗体と臓器障害の組合せで正しいのはどれか。 ,a. 抗MDA5抗体 - 間質性腎炎 | b. 抗Mi-2抗体 - 蝶形紅斑 | c. 抗SS-A抗体 - 皮膚硬化 | d. 抗TIF1-r抗体 - 硬化性胆管炎 | e. 抗アミノアシルtRNA合成酵素抗体〈抗ARS抗体〉 - 間質性肺炎,FALSE,e,抗アミノアシルtrna合成酵素抗体（抗ars抗体）は多発性筋炎/皮膚筋炎に関連し、その一部は間質性肺炎を伴うことが知られています。その他の選択肢は臓器の障害と合致しません。,0.9,e,抗ars抗体（抗アミノアシルtrna合成酵素抗体）は皮膚筋炎や多発性筋炎に合併する間質性肺炎と強く関連するため。,1.0,e,抗アミノアシルtrna合成酵素抗体（抗ars抗体）は、抗合成酵素症候群に関連し、間質性肺炎を伴うことが最も特徴的であるため。,1.0,,,
119C27,薬害エイズ事件で、医原性免疫不全症の原因となった非加熱濃縮血液製剤を用いて治療されていた疾患はどれか。 ,a. 血友病 | b. 多発性骨髄腫 | c. 無菌性髄膜炎 | d. 成人T細胞白血病 | e. Creutzfeldt-Jakob病,FALSE,a,薬害エイズ事件は、非加熱の濃縮血液製剤を使用していたことによりhivに感染した事件であり、主に血友病患者が影響を受けました。したがって、治療されていた疾患は「血友病」です。,1.0,a,非加熱濃縮血液製剤は血友病の治療に用いられ、薬害エイズ事件ではこれによりhiv感染が拡大した。,1.0,a,薬害エイズ事件は、非加熱濃縮血液製剤を用いた血友病の治療によりhiv感染が拡大した事例であるため。,1.0,,,
119C28,妊娠中期に低下するのはどれか。 ,a. 白血球数 | b. 一回換気量 | c. 大腿静脈圧 | d. インスリン抵抗性 | e. 血清クレアチニン値,FALSE,e,妊娠中期には、母体の循環血液量が増加するため、腎血流量と糸球体濾過量が上昇します。この結果、血清クレアチニン値が低下します。その他の選択肢は妊娠中期において減少しないか、むしろ増加することが一般的です。,0.9,e,妊娠中は糸球体濾過量が増加するため血清クレアチニン値が低下する。,0.9,e,妊娠中は、グロメルろ過率が増加するため、血清クレアチニン値が低下します。他の選択肢はむしろ増加するか変化がないため、eが正解です.,1.0,,,
119C29,ホルモン受容体異常症はどれか。 ,a. 骨軟化症 | b. Basedow病 | c. 慢性甲状腺炎 | d. 副甲状腺機能亢進症 | e. 偽性副甲状腺機能低下症,FALSE,e,偽性副甲状腺機能低下症は、ホルモン受容体からの信号伝達の異常によって起こる疾患であり、pth（副甲状腺ホルモン）の受容体の機能不全が原因です。他の選択肢はホルモン受容体異常症ではありません。,0.9,e,偽性副甲状腺機能低下症はpth受容体の下流シグナル伝達（g蛋白）障害によるホルモン受容体異常症であるため。,1.0,e,偽性副甲状腺機能低下症は、副甲状腺ホルモンに対する受容体の反応不全によって生じる典型的なホルモン受容体異常症であるため。,1.0,,,
119C30,下血を認めないのはどれか。 ,a. 大腸癌 | b. 潰瘍性大腸炎 | c. 虚血性大腸炎 | d. 過敏性腸症候群 | e. 非閉塞性腸管虚血症〈NOMI〉,FALSE,d,過敏性腸症候群（ibs）は、腸管の運動機能異常などによる機能的疾患であり、通常は出血を伴わず、下血を認めません。他の選択肢はすべて何らかの形で腸の粘膜障害や出血を伴う可能性があります。,0.9,d,過敏性腸症候群では粘血便や下血を認めることは基本的にないため。,1.0,d,過敏性腸症候群は機能性疾患であり、粘膜に直接的な病変がないため下血は認められません。一方、大腸癌、潰瘍性大腸炎、虚血性大腸炎、非閉塞性腸管虚血症は粘膜障害を伴うため下血を認めることがあります.,1.0,,,
119C31,反復使用した場合、身体依存を形成するのはどれか。 ,a. LSD | b. 大麻 | c. コカイン | d. アンフェタミン類 | e. ベンゾジアゼピン系薬,FALSE,e,ベンゾジアゼピン系薬は、長期間または高用量での使用により身体依存が形成されることがあります。他の選択肢は精神依存または身体依存の可能性が低いです。,0.9,e,ベンゾジアゼピン系薬は反復使用で身体依存を形成し、急な中断で離脱症状が起こるため。,1.0,e,ベンゾジアゼピン系薬は反復使用により身体依存（離脱症状を伴う）が形成されるため。その他の選択肢は主に精神依存中心であり、身体依存は起こりにくい。,1.0,,,
119C32,介護保険制度における主治医意見書に必ず記載するのはどれか。2つ選べ。,a. 家族歴 | b. 診断名 | c. アレルギー歴 | d. ワクチン接種歴 | e. 日常生活の自立度,FALSE,be,介護保険制度における主治医意見書には、被保険者の健康状態を正確に評価するために診断名や日常生活の自立度が必ず記載される。家族歴、アレルギー歴、ワクチン接種歴は重要な情報ではあるが、主治医意見書に必ずしも記載される項目ではない。,0.9,be,主治医意見書には診断名と日常生活の自立度を必ず記載する必要があるため。,0.9,be,主治医意見書は、介護保険の申請にあたり、医療状態を示す診断名と日常生活の自立度（adl評価）が必ず記載されるため、これらが選ばれます。その他の項目は必須ではありません。,0.95,,,
119C33,一般的な左冠動脈造影像(別冊No.2A)と右冠動脈造影像(別冊No.2B)を別に示す。心室中隔を灌流している冠動脈はどれか。2つ選べ。,a. 対角枝 | b. 右冠動脈 | c. 左回旋枝 | d. 左主幹部 | e. 左前下行枝,FALSE,be,,1.0,be,前下行枝(lad)が中隔前部を、右冠動脈(rca)が後下行枝(pda)を介して中隔後部を灌流するため。,0.9,be,心室中隔は主に左前下行枝（lad）からの中隔枝と、右冠動脈からの後下小枝（下部中隔枝）により灌流されるため。,1.0,,,
119C34,抗リン脂質抗体症候群の徴候はどれか。2つ選べ。,a. 脳梗塞 | b. 不育症 | c. 早発閉経 | d. 指尖陥凹性瘢痕 | e. 口腔粘膜再発性潰瘍,FALSE,ab,抗リン脂質抗体症候群（aps）は、血栓症や妊娠関連合併症（例えば習慣性流産、不育症）を伴う自己免疫疾患です。そのため、脳梗塞（血栓症の一種）と不育症が正しい選択肢です。他の選択肢は抗リン脂質抗体症候群の特徴的な徴候ではありません。,0.9,ab,抗リン脂質抗体症候群は血栓症（脳梗塞など）や習慣性流産（不育症）を特徴とするため。,0.9,ab,抗リン脂質抗体症候群は、動脈性および静脈性血栓症（例：脳梗塞）と、妊娠に関連する合併症（反復流産、不育症）を特徴とするため。,1.0,,,
119C35,肝内胆管癌のリスクファクターはどれか。3つ選べ。,a. 飲酒 | b. 肝内結石 | c. 経口避妊薬 | d. 塩素系有機溶剤 | e. 原発性硬化性胆管炎,FALSE,bde,肝内胆管癌のリスクファクターとして一般的に知られているものに、肝内結石（b）、原発性硬化性胆管炎（e）、塩素系有機溶剤（d）が挙げられます。これらは胆管に影響を与えることが知られており、肝内胆管癌のリスクを増加させます。飲酒は肝細胞癌のリスク因子であり、経口避妊薬は主に肝腺腫に関連するため、今回の肝内胆管癌には直接的に関連しないとされています。,0.9,bde,肝内結石、塩素系有機溶剤、原発性硬化性胆管炎はいずれも肝内胆管癌のリスクファクターとして知られている。,0.9,bde,肝内結石 (b) は胆管の慢性炎症を引き起こし発癌リスクを高め、塩素系有機溶剤 (d) への曝露も発癌が報告されており、原発性硬化性胆管炎 (e) は胆管の炎症性疾患として知られるため、これら3つがリスクファクターとなります。一方、飲酒 (a) や経口避妊薬 (c) は主要なリスク因子として認識されていません。,1.0,,,
119C36,73歳の男性。息切れの増強を主訴に来院した。喫煙は20歳から70歳まで20本/日であったが、3年前から息切れのため禁煙している。既往歴に特記すべきことはない。職業歴に工場や鉱山での勤務歴がある。意識は清明。身長162cm、体重52kg。体温36.4℃。脈拍76/分、整。血圧142/76mmHg。呼吸数20/分。SpO2(roomair)は自立歩行で診察室入室直後は86%、安静座位で深呼吸後は89%。心音に異常を認めない。呼吸音は両側の背部でfine cracklesを聴取する。呼吸機能検査:%VC88%、FEV1%67%、%DLco70%。鼻カニューラ2L/分酸素投与下での6分間歩行試験でSpO2は90%以上を維持していた。簡易睡眠無呼吸検査の結果、軽度の睡眠時無呼吸が明らかとなった。心エコー検査で中等度の肺高血圧を認める。胸部エックス線写真(別冊No.3A)と胸部単純CT(別冊No.3B)とを別に示す。胸部CTで明らかな肺癌の合併を認めない。この患者に対する在宅酸素療法で期待される効果はどれか。,a. 肺拡散能の改善 | b. 肺癌の発症抑制 | c. 細菌性肺炎の併発予防 | d. 労作時呼吸困難の改善 | e. 睡眠時無呼吸発作の減少,FALSE,d,この患者は中等度の肺高血圧を呈しており、在宅酸素療法によって酸素供給が改善されるため、労作時呼吸困難の改善が期待されます。肺拡散能や肺癌の発症抑制、細菌性肺炎の併発予防には直接関与しません。睡眠時無呼吸への影響も限定的です。,0.9,d,在宅酸素療法では労作時の低酸素を改善し、息切れを軽減する効果が期待されるため。,0.9,d,在宅酸素療法は慢性的な低酸素状態を改善することで、労作時の酸素飽和度を維持し、呼吸困難（労作時呼吸困難）の改善につながります。他の選択肢は直接的な効果としては期待されません。,1.0,,,
