question_number,question_text,choices,has_image,deepseek_answer,deepseek_explanation,deepseek_confidence
119F19,Which of the following isa target disease for neonatal screening using tandem massspectrometry? ,a. Wilson disease | b. Spinal muscular atrophy(SMA) | c. Methylmalonic acidemia(MMA) | d. Severe combined immunodeficiency(SCID) | e. Congenital cytomegalovirus infection(cCMV),False,c,"tandem mass spectrometry is commonly used in neonatal screening for metabolic disorders like methylmalonic acidemia (mma) by detecting abnormal metabolites. other options involve different diagnostic methods (e.g., genetic testing for sma, trec assay for scid) or unrelated conditions.",0.95
119F20,精神症状と障害される精神機能の組合せで正しいのはどれか。 ,a. 恐怖 - 思考 | b. 無為 - 意欲 | c. 離人症 - 発達 | d. 両価性 - 自我 | e. 学習障害 - 知能,False,b,無為（アパシー）は意欲の障害と直結し、統合失調症の陰性症状として典型的である。他の選択肢は、恐怖は感情、離人症は自我意識、両価性は思考（矛盾した思考）、学習障害は特定の学習能力の障害であり、組み合わせが誤っている。,0.9
119F21,従属人口指数の分母はどれか。 ,a. 総人口 | b. 年少人口 | c. 成人人口 | d. 老年人口 | e. 生産年齢人口,False,e,従属人口指数は（年少人口＋老年人口）÷生産年齢人口×100で算出されるため、分母は生産年齢人口（e）となる。,0.95
119F22,我が国の最近5年間の年間総出生数に対する、母体年齢40歳以上の出生数の割合に最も近いのはどれか。 ,a. 1% | b. 6% | c. 16% | d. 26% | e. 36%,False,b,厚生労働省の人口動態統計によると、近年の母体年齢40歳以上の出生数割合は5〜6%台で推移しており、選択肢bが最も近い数値である。他の選択肢は現実の統計データと乖離が大きい。,0.85
119F23,求心性視野狭窄をきたす疾患はどれか。 ,a. うっ血乳頭 | b. 頭蓋咽頭腫 | c. 加齢黄斑変性 | d. 球後視神経炎 | e. 開放隅角緑内障,False,e,"開放隅角緑内障は進行により周辺視野から欠損が始まり、最終的に求心性視野狭窄をきたす。他の選択肢は中心暗点（c,d）、両耳側半盲（b）、生理的暗点拡大（a）など特徴的な所見を示すため除外される。",0.9
119F24,精神運動興奮状態の患者に対して、精神保健指定医が行うことのできる行動の制限で誤っているのはどれか。 ,a. 隔離 | b. 身体拘束 | c. 退院の制限 | d. 面会の制限 | e. 処遇改善請求の制限,False,e,処遇改善請求の制限は患者の権利を不当に制限するものであり、精神保健福祉法上認められていない。他の選択肢（隔離・身体拘束・退院/面会制限）は治療や安全確保のため必要な場合に限定して可能である。,0.95
119F25,"The constitution of the world health organization <WHO> is shown below. ""Health is a state of complete physical, () and social well-being and not merely the absence of disease or infirmity."" Select the correct answer from below to complete the sentence. ",a. mental | b. spiritual | c. emotional | d. psychiatrice | e. psychological,False,a,who憲章では、健康は「身体的、精神的、社会的に完全に良好な状態」と定義されており、空欄には「mental」が当てはまる。他の選択肢は公式な定義に含まれない。,1.0
119F26,早朝空腹時の主な血糖調節機構はどれか。 ,a. 肝臓でのブドウ糖放出 | b. 腎臓でのブドウ糖再吸収 | c. 脳でのブドウ糖取り込み | d. 骨格筋でのブドウ糖取り込み | e. 副腎での糖質ステロイド合成,False,a,早朝空腹時には肝臓がグリコーゲン分解や糖新生によりブドウ糖を血中に放出し、血糖値を維持する。これが主要な調節機構であり、他の選択肢は直接的/即時的効果に乏しい。,0.9
119F27,地域包括支援センターの業務はどれか。 ,a. 高齢者虐待の防止 | b. 発達障害児の相談 | c. 地域住民のがん検診 | d. へき地医療対策の企画 | e. 通所リハビリテーションの提供,False,a,地域包括支援センターは介護保険法に基づき高齢者虐待防止を含む権利擁護業務を担うため。その他の選択肢は児童福祉や保健所の業務などに関連する。,0.95
119F28,成人期に低身長をきたすのはどれか。2つ選べ。 ,a. Marfan症候群 | b. Turner症候群 | c. Kallmann症候群 | d. Prader-Willi症候群 | e. アロマターゼ欠損症,False,bd,turner症候群（b）は女性の低身長を特徴とする染色体異常。prader-willi症候群（d）は成長ホルモン分泌不全を伴い低身長を示す。marfan症候群（a）は高身長、アロマターゼ欠損症（e）は骨端閉鎖遅延による高身長が特徴のため除外される。kallmann症候群（c）は主に性腺機能低下が主症状で低身長との直接的な関連は薄い。,0.95
119F29,顔貌の特徴と疾患の組合せで正しいのはどれか。2つ選べ。 ,a. 下顎突出 - 先端巨大症 | b. 仮面様顔貌 - Parkinson病 | c. 眼球突出 - Sheehan症候群 | d. 眉毛脱失 - Cushing病 | e. 満月様顔貌 - Basedow病,False,ab,"先端巨大症では成長ホルモン過剰により下顎突出が生じる（a正）。parkinson病では表情筋の硬直により仮面様顔貌がみられる（b正）。眼球突出はbasedow病、満月様顔貌はcushing症候群の特徴であるためc,eは誤り。眉毛脱失はcushing病ではなく甲状腺機能低下症などで生じる（d誤）。",0.95
119F30,正期産児で、日齢0より日齢28で高値となるのはどれか。2つ選べ。 ,a. IgA | b. IgG | c. IgM | d. 白血球 | e. ヘモグロビン,False,ac,正期産児ではigaは出生後徐々に増加し始め、igmは母体から移行しないため感染暴露後の産生で上昇する。igg（b）は出生時がピークで減少し、白血球（d）は出生直後に高く、ヘモグロビン（e）は生理的貧血で低下するため。ただしigaの上昇速度には個体差があり厳密な時期の解釈に留意。,0.7
119F31,医療計画において二次医療圏単位で基準病床数が設定されるのはどれか。2つ選べ。 ,a. 一般病床 | b. 結核病床 | c. 精神病床 | d. 療養病床 | e. 感染症病床,False,ad,医療計画において二次医療圏単位で基準病床数が設定されるのは、一般病床（a）と療養病床（d）である。精神病床（c）は三次医療圏、感染症病床（e）や結核病床（b）は都道府県単位（一次医療圏）で計画されるため対象外。,0.85
119F32,肝生検が診断に有用なのはどれか。2つ選べ。 ,a. Gilert症候群 | b. 肝外門脈閉塞症 | c. 自己免疫性肝炎 | d. Budd-Chiari症候群 | e. 非アルコール性脂肪性肝炎,False,ce,自己免疫性肝炎（c）は診断基準で組織学的評価が必須であり、非アルコール性脂肪性肝炎（e）は脂肪変性や炎症の程度を確定するため肝生検が有用である。他の選択肢は画像検査や血液検査が診断の主体となるため除外される。,0.95
119F33,高齢者の入院時の栄養評価で低栄養が疑われるのはどれか。2つ選べ。 ,a. 褥瘡 | b. 難聴 | c. 腰痛 | d. 高血圧 | e. 体重減少,False,ae,褥瘡は低栄養による皮膚の脆弱性や治癒遅延と関連し、体重減少は直接的な低栄養の指標となる。高血圧や難聴・腰痛は低栄養と直接的な因果関係が薄い。,0.95
119F34,アニオンギャップが開大する病態はどれか。3つ選べ。 ,a. 下痢 | b. 糖尿病ケトアシドーシス | c. 乳酸アシドーシス | d. 尿細管性アシドーシス | e. 尿毒症,False,bce,アニオンギャップの開大は未測定陰イオン（ケトン体・乳酸・尿毒素など）の蓄積で生じる。糖尿病ケトアシドーシス（b）はケトン体、乳酸アシドーシス（c）は乳酸、尿毒症（e）は硫酸などの蓄積によりagが開大する。下痢（a）と尿細管性アシドーシス（d）は高cl性アシドーシスでagは正常。,0.95
119F35,医療機関での感染性廃棄物の処理で正しいのはどれか。3つ選べ。 ,a. 収納容器を満杯まで使用する。 | b. 収納容器を運搬する際は密閉する。 | c. 注射針を段ボール容器に廃棄する。 | d. 発生したその場で容器に収容する。 | e. 使用した舌圧子は処理の対象となる。,False,bde,感染性廃棄物の収納容器は密閉が必要（b）、発生現場での直接収容が原則（d）、舌圧子は血液等に触れるため感染性廃棄物扱い（e）。aは満杯禁止、cは段ボール容器不適切。,0.85
119F36,73歳の女性。左手関節痛を主訴に来院した。2時間前に自宅の玄関で転倒し、左手をついた際に痛みが出現した。左手関節に腫脹と圧痛を認める。左母指と示指の掌側にしびれと知覚鈍麻を認める。左手関節のエックス線写真(別冊No.1)を別に示す。障害されている神経はどれか。 ,a. 筋皮神経 | b. 後骨間神経 | c. 尺骨神経 | d. 正中神経 | e. 橈骨神経,True,d,転倒後の手関節痛と母指・示指掌側の知覚障害から、橈骨遠位端骨折（colles骨折）に伴う正中神経損傷が疑われる。正中神経は手根管部で圧迫されやすく、支配領域である母指・示指・中指掌側の知覚障害をきたす。他の神経の支配領域と症状が一致しない。,0.95
119F37,35歳の女性。挙児希望のため来院した。これまでに3回の妊娠歴があるが、いずれも胎児心拍確認後、妊娠6週、8週、7週で心拍が消失し流産した。不正性器出血はない。初経は13歳、月経周期28日型、整、持続5日間。内診で子宮は正常大で付属器を触知しない。次回妊娠に向けた検査で適切でないのはどれか。 ,a. 甲状腺機能検査 | b. 子宮頸管長測定 | c. 子宮卵管造影検査 | d. 抗リン脂質抗体測定 | e. カップルの染色体検査,False,b,子宮頸管長測定は主に早産リスクの評価に用いられ、妊娠早期の反復流産の原因検査としては適切ではない。他の検査は習慣流産の原因（内分泌異常、子宮形態異常、抗リン脂質抗体症候群、両親染色体異常）を調べる標準的な検査である。,0.95
119F38,"68歳の女性。腹膜炎の手術後でICUに入院中である。3日前に消化管穿孔による急性汎発性腹膜炎で緊急手術が行われた。術後は気管挿管されたままICUに入室し、人工呼吸管理を受けている。本日から呼吸状態が悪化し、気管からピンク色泡沫状の分泌物が吸引された。心拍数90/分、整。血圧124/84mmHg。動脈血ガス分析(FIO20.7,呼気終末陽圧〈PEEP〉5cmH2O):pH7.32、PaCO242Torr、PaO269Torr、HCO3-23mEq/L。胸部エックス線写真(別冊No.2)を別に示す。心エコー検査で左室駆出率60%、左室壁運動に異常を認めない。有意な弁膜症を認めない。診断はどれか。 ",a. 肺膿瘍 | b. 肺胞出血 | c. 心原性肺水腫 | d. 急性間質性肺炎 | e. 急性呼吸窮迫症候群〈ARDS〉,True,e,症例は術後で急性呼吸不全を呈し、ピンク色泡沫状の分泌物や低酸素血症（pao2/fio2比=69/0.7≈98.5）、胸部x線の浸潤影が認められる。心エコーで左室機能は正常であり心原性肺水腫（c）が否定され、急性呼吸窮迫症候群〈ards〉（e）の診断基準を満たす。他の選択肢は臨床所見や画像所見と整合しない。,0.95
119F39,58歳の男性。①*意識障害*のため救急車で搬入された。5年前に②*糖尿病*でインスリン自己注射を開始した。2年前から③*職場の人間関係が悪化*し、仕事を休みがちである。同時期から、④*食事は不規則*になり、飲酒量が増えた。また、糖尿病の治療を自己中断していた。数日前から姉との連絡が途絶えたため、姉が心配して自宅を訪ねたところ、意識がもうろうとして台所で倒れているのを発見し、救急車を要請した。16年前に離婚してからは独居である。意識レベルはJCSⅡ-20。身長174cm、体重58kg。体温37.0℃。心拍数92/分、整。血圧98/64mmHg。⑤*呼吸数24/分*。糖尿病ケトアシドーシスと診断され入院した。下線部のうち、社会的な健康規定要因(SocialDeterminants ofHealth)〈SDH〉はどれか。 ,a. ① | b. ② | c. ③ | d. ④ | e. ⑤,False,c,下線部③「職場の人間関係の悪化」は労働環境という社会的要因に該当し、sdhの典型的な例である。一方、④の不規則な食事は個人の行動に焦点が当たっており、背景要因ではあるが直接的なsdhとは区別される。⑤の呼吸数は生理的所見であり、sdhに関連しない。,0.9
119F40,26歳の女性。臨床研修1年目の医師。針刺しによる刺創で受診した。HBs抗原陽性患者の手術の助手を務めている最中に受傷した。ただちに患部を流水で洗浄した後、救急外来を受診した。これまでにB型肝炎罹患歴はなく、4年前にHBワクチンの接種歴がある。入職時のHBs抗体価は十分に高かった。適切な対応はどれか。 ,a. 経過観察 | b. HBワクチン接種 | c. 核酸アナログ製剤投与 | d. 抗HBsヒト免疫グロブリン投与 | e. HBワクチン接種および抗HBsヒト免疫グロブリン投与,False,a,曝露者に十分なhbs抗体（抗hbs抗体）が確認されている場合、b型肝炎ウイルス曝露後の予防として追加処置は不要であり、経過観察が適切である。hbワクチン接種歴があり、入職時に抗体価が十分高かったことから、現在も免疫が持続していると推定されるため。,0.95
119F41,35歳の初妊婦(1妊0産)。妊娠34週4日、妊婦健康診査のため来院した。これまで定期的に妊婦健康診査を受けている。身長158cm、体重59kg(非妊時51kg)。血圧110/78mmHg。下腿に軽度の圧痕性浮腫を認める。腟鏡診で性器出血を認めない。腹部超音波検査では胎児発育と羊水量に異常を認めない。母子健康手帳の記載内容(別冊No.3A)と胎児心拍数陣痛図(別冊No.3B)とを別に示す。妊婦への説明で適切なのはどれか。 ,a. 「入院が必要です」 | b. 「血液検査が必要です」 | c. 「妊娠経過は順調です」 | d. 「塩分を制限しましょう」 | e. 「体重が過度に増加しています」,True,c,妊娠34週での体重増加8kgはbmi正常範囲内で適切であり、血圧正常・胎児発育/羊水量正常・性器出血なしから妊娠経過は順調と判断できる。下腿浮腫は妊娠後期の生理的変化であり、特に治療介入を要しないため。,0.9
119F42,40歳の男性。特定健康診査で肥満を指摘され来院した。仕事はデスクワークが主体で、運動はしていない。身長171cm、体重100kg。脈拍84/分、整。血圧146/94mmHg。呼吸数17/分。尿所見:蛋白1+、糖1+。血液生化学所見:総蛋白7.1g/dL、アルブミン3.9g/dL、AST75U/L、ALT26U/L、Y-GT89U/L(基準13~64)、尿素窒素21mg/dL、クレアチニン1.3mg/dL、尿酸8.9mg/dL、血糖148mg/dL、HbAlc6.7%(基準4.9~6.0)、トリグリセリド260mg/dL、HDLコレステロール41mg/dL、LDLコレステロール181mg/dL。体重の減量を目的とした食事指導を行った。食事摂取基準に基づいた指導内容で適切なのはどれか。 ,"a. 食塩相当量の摂取は15gとする。 | b. 総摂取エネルギー量は4,500k | c. alとする。c脂質の摂取は総摂取エネルギー量の20~30%とする。 | d. 蛋白質の摂取は総摂取エネルギー量の5~10%とする。 | e. 炭水化物の摂取は総摂取エネルギー量の30~40%とする。",False,c,脂質の適正割合は20-30%であり、患者の脂質異常症（高ldl・高中性脂肪）を考慮しても範囲内。他の選択肢は食塩過多（a）、過剰エネルギー（b）、蛋白質不足（d）、炭水化物不足（e）で基準外。,0.95
119F43,"78歳の男性。右臀部周辺の痛みを主訴に来院した。1年前から前立腺癌に対しホルモン療法施行中である。3日前に旅行から帰宅後に右臀部の痛みと腫れを自覚した。痛みは徐々に右臀部全般に広がった。意識は清明。体温36.2℃。脈拍96/分、整。血圧102/68mmHg。呼吸数16/分。SpO298%(roomair)。右大腿から腰部にかけて紫斑を認める。心音と呼吸音とに異常を認めない。腹部は平坦、軟で、肝·脾を触知しない。右臀部は硬く腫脹し、圧痛を認める。血液所見:赤血球391万、Hb9.8g/dL、Ht32%、白血球7,950(好中球72%、好酸球1%、単球9%、リンパ球18%)、血小板35万。PT-INR1.0(基準0.9~1.1)、APTT72.4秒(基準対照32.2)、フィブリノゲン433mg/dL(基準186~355)、FDP14μg/mL(基準10以下)。血液生化学所見:総蛋白7.4g/dL、AST24U/L、ALT40U/L、LD218U/L(基準124~222)、尿素窒素10mg/dL、クレアチニン0.7mg/dL。CRP0.8mg/dL.臀部痛の原因はどれか。 ",a. 筋肉内出血 | b. 坐骨神経痛 | c. 腸腰筋膿瘍 | d. 大腿骨頭壊死症 | e. 変形性股関節症,False,a,apttの著明な延長（72.4秒）とfdp上昇（14μg/ml）が凝固異常を示唆し、ホルモン療法による出血傾向の可能性がある。紫斑と硬い腫脹は筋肉内出血の特徴で、腸腰筋膿瘍（発熱やcrp高値が期待される）や他の整形外科的疾患（神経痛や変性疾患）との鑑別が可能。,0.85
119F44,15歳の女子。定期受診で来院した。10歳時に全身性エリテマトーデス〈SLE〉と診断され、小児科に通院している。少量グルココルチコイド、ミコフェノール酸モフェチル及びヒドロキシクロロキンを内服し病状は安定している。13歳時にひとりで薬の管理をさせたところ、処方数と残薬数が合わないことから怠薬が判明した。以後、母親が薬の管理をしている。発達に問題はなく、学校の成績は良好で、今春、志望校に合格した。高校生になると忙しくなるので、本人を連れて受診できるか、母親が心配している。患者は質問に答えるのみで、自らの発言はない。高校進学を前に将来的な内科への移行を見据え、今後の管理を話し合うことにした。適切な対応はどれか。 ,a. 以前の怠薬歴を注意する。 | b. 本人のみに薬の自己管理をさせる。 | c. 自宅での内服管理は引き続き母親に任せる。 | d. 母親のみに通院してもらい処方箋を発行する。 | e. 本人に自身の病気をどれくらい理解しているか確認する。,False,e,移行期において患者自身の疾患理解を確認することは自立支援の第一歩であり、自己管理能力を評価するために必要。他の選択肢は過去の失敗を非難する（a）、現状維持で自立を阻害する（c/d）、または無理な自己管理を強いる（b）ため不適切。,0.95
119F45,1歳10か月の男児。けいれんを主訴に両親に連れられて夜間救急外来を受診した。2日前から咳嗽と鼻汁がみられていた。本日の夕方までは元気で食欲も良好であったが、夜になって発熱に気付いた。下痢や嘔吐はなく、排尿も良好であった。その後左右差のない全身を強直させるけいれんが出現し、2分間持続した。1歳2か月時に同様のけいれんの既往がある。予防接種は、予定どおり接種している。意識は清明。身長84cm、体重11.2kg。体温38.5℃。脈拍128/分、整。血圧100/60mmHg。呼吸数28/分。SpO299%(roomair)。皮膚のツルゴールの低下はない。瞳孔は左右差なく、対光反射は正常。咽頭に軽度の発赤を認める。鼓膜に異常を認めない。胸部と腹部とに異常を認めない。項部硬直とKernig徴候とを認めない。四肢の筋緊張は正常で、腱反射の亢進を認めない。救急外来での親への説明で適切なのはどれか。 ,a. 「輸液が必要です」 | b. 「抗菌薬を投与します」 | c. 「ビタミンKを投与します」 | d. 「1時間後に再度診察します」 | e. 「抗けいれん薬を投与します」,False,d,患児の症状は単純性熱性けいれんを示唆している。既往歴や身体所見（髄膜刺激症状なし、神経学的異常なし）から緊急処置や抗けいれん薬は不要。脱水所見がなく輸液も不要。抗菌薬やビタミンk投与の根拠もない。経過観察が適切で「1時間後に再度診察します」が正しい。,0.9
119F46,75歳の男性。がん検診で便潜血反応陽性を指摘され来院した。下部消化管内視鏡検査でS状結腸癌と診断され、結腸切除を予定している。約15年前から糖尿病を指摘され治療中である。喫煙は約20本/日であったが、5年前から禁煙している。飲酒は焼酎1合/日。身長162cm、体重59kg。体温36.6℃。脈拍76/分、整。血圧132/72mmHg。心音と呼吸音とに異常を認めない。左下腹部に圧痛を認める。尿所見:蛋白(一)、糖3+、ケトン体(一)。血液生化学所見:血糖180mg/dL、HbAlc7.1%(基準4.9~6.0)。この患者の周術期血糖コントロールの目的で適切なのはどれか。 ,a. 創感染の予防 | b. 脳血管障害の予防 | c. 心血管イベントの予防 | d. 深部静脈血栓症の予防 | e. 糖尿病性神経障害の予防,False,a,周術期の高血糖は免疫機能の低下を引き起こし、創感染のリスクを増加させるため、血糖コントロールの主な目的は「創感染の予防」と考えられる。他の選択肢は周術期管理の直接的な目的として優先度が低い。,0.9
119F47,28歳の初産婦(1妊0産)。妊娠40週、陣痛発来のため入院した。入院時内診所見で、子宮口は3cm開大、展退度50%、児頭下降度はSP-2cm。第1頭位。小泉門が先進し、3時方向に触知する。入院8時間後の内診所見で、子宮口は8cm開大、展退度80%、児頭下降度はSP±0cm。小泉門が先進し、6時方向に触知する。分娩経過の評価で正しいのはどれか。 ,a. 正常経過 | b. 第1回旋の異常 | c. 第2回旋の異常 | d. 第3回旋の異常 | e. 第4回旋の異常,False,c,小泉門が6時方向（母体の真後方）に位置することから、第2回旋（内回旋）の異常（持続後頭後方位）を示唆する。正常な第2回旋では児頭は母体の恥骨結合側（前方）に回旋するが、本例では後方へ向いたままであるため。,0.8
