question_number,question_text,choices,o1_answer,o1_explanation,o1_confidence,gpt-4o_answer,gpt-4o_explanation,gpt-4o_confidence,o3-mini_answer,o3-mini_explanation,o3-mini_confidence,gemini_answer,gemini_explanation,gemini_confidence,deepseek_answer,deepseek_explanation,claude_answer,claude_explanation,claude_confidence,deepseek_confidence
119B11,毛細血管内血液の還元ヘモグロビン濃度が5g/dL以上になると出現し、皮膚や粘膜が暗紫色になるのはどれか。 ,a. 黄疸 | b. 紅斑 | c. 紫斑 | d. 網状皮斑 | e. チアノーゼ,e,還元ヘモグロビンが5g/dl以上になることで生じる暗紫色の皮膚・粘膜変化はチアノーゼである。,1.0,e,チアノーゼは、還元ヘモグロビンの増加により皮膚や粘膜が暗紫色になる状態で、典型的な症状です。問題文に記載された条件は、チアノーゼの特徴に該当します。,1.0,e,還元ヘモグロビン濃度の増加により生じる皮膚・粘膜の暗紫色の変化はチアノーゼの特徴であるため。,1.0,e,チアノーゼは、還元ヘモグロビン濃度が5g/dl以上になると皮膚や粘膜が暗紫色になる状態です。,1.0,ERROR,Expecting value: line 1 column 1 (char 0),e,チアノーゼは、還元ヘモグロビン（脱酸素化ヘモグロビン）濃度が5g/dl以上になると出現する症状で、皮膚や粘膜が暗紫色～青紫色を呈します。これは血液中の酸素が不足している状態を示す重要な臨床所見です。,0.95,
119B12,思春期の脊柱側弯症の身体診察でみられないのはどれか。 ,a. 肋骨隆起 | b. 胸椎の叩打痛 | c. 片側肩甲骨の突出 | d. 肩の高さの左右差 | e. ウエストラインの非対称,b,思春期特発性側弯症では肋骨隆起や肩甲骨の突出、肩の高さやウエストラインの左右差はよくみられるが、椎体の器質的病変や炎症がない場合に叩打痛は通常みられないため。,0.9,b,思春期の脊柱側弯症でみられるのは、肋骨隆起、片側肩甲骨の突出、肩の高さの左右差、ウエストラインの非対称などの視覚的な変化であり、叩打痛は通常見られません。叩打痛は通常、炎症や感染、外傷などに関連した症状です。,0.95,b,思春期の脊柱側弯症では、肋骨隆起、片側肩甲骨の突出、肩の高さの左右差、ウエストラインの非対称が認められますが、胸椎の叩打痛は通常見られないため。,1.0,b,思春期特発性側弯症は、通常、疼痛を伴わない。胸椎の叩打痛は、炎症や感染症など、別の病態を示唆する。肋骨隆起、肩甲骨の突出、肩の高さの左右差、ウエストラインの非対称は側弯症でみられる所見である。,0.9,ERROR,Expecting value: line 1 column 1 (char 0),b,特発性脊柱側弯症は通常、痛みを伴わない変形であり、叩打痛は一般的な症状ではありません。典型的な身体所見には、肋骨隆起（アダムス前屈テスト陽性）、肩甲骨突出、肩の高さの左右差、ウエストラインの非対称性が含まれます。叩打痛がある場合は、腫瘍や感染症など、他の病的な原因を考慮する必要があります。,0.9,
119B13,女子の思春期で正しいのはどれか。 ,a. 初経は排卵性の月経である。 | b. 思春期まで卵胞数は増加する。 | c. 初経前にゴナドトロピンは低下する。 | d. 大量のエストロゲンは骨端線を閉鎖させる。 | e. 二次性徴は陰毛発育、乳房発育、初経の順に進む。,d,思春期の高エストロゲン状態によって骨端線が閉鎖されるため。他の選択肢は初経が排卵性ではないこと、卵胞数が増加しないことなどから誤りとなる。,1.0,d,大量のエストロゲンは骨端線を閉鎖させることで知られています。初経は通常、無排卵性ですし、思春期まで卵胞数は減少します。初経前にゴナドトロピンの分泌が増加し、二次性徴の順序は一般的に乳房発育、陰毛発育、初経の順です。,0.9,d,高濃度のエストロゲンは骨端線を閉鎖させる作用があるため、女子思春期においてエストロゲンの増加が骨成長の停止に関与します。その他、初経は一般に排卵性ではなく、卵胞数は思春期までに減少し、ゴナドトロピンは初経前に低下せず、また二次性徴の進行順序は通常、乳房発育→陰毛発育→初経となります。,1.0,d,大量のエストロゲンは骨端線を閉鎖させ、骨の成長を止める。初経は通常無排卵月経である。思春期まで卵胞数は減少する。初経前にゴナドトロピンは上昇する。二次性徴は乳房発育、陰毛発育、初経の順に進むことが多い。,0.9,ERROR,Expecting value: line 1 column 1 (char 0),d,エストロゲンの大量分泌は骨端線を閉鎖させ、成長を停止させることは確実な医学的事実です。他の選択肢について、初経は無排卵性が一般的、卵胞数は胎生期がピークで以降減少、ゴナドトロピンは思春期に上昇、二次性徴は通常乳房発育から始まり、その後陰毛発育、初経の順となります。,0.9,
119B14,在宅医療·介護のサービスで医師の指示が必要でないのはどれか。 ,a. 訪問介護 | b. 訪問看護 | c. 訪問栄養指導 | d. 訪問薬剤管理指導 | e. 訪問リハビリテーション,a,訪問介護は生活支援が中心で医師の指示は必要ないため。,0.9,a,訪問介護は生活支援を中心としたサービスであるため、医師の指示を必要としない。訪問看護、訪問栄養指導、訪問薬剤管理指導、訪問リハビリテーションは医療専門職が提供するサービスであり、通常は医師の指示が必要となる。,0.9,a,訪問看護、訪問栄養指導、訪問薬剤管理指導は在宅医療の医療行為に該当し、医師の指示が必要ですが、訪問介護は介護保険に基づくサービスであり、医師の指示は必要ありません。,1.0,a,訪問介護は、日常生活の支援を目的としており、医師の指示は原則不要です。訪問看護、訪問栄養指導、訪問薬剤管理指導、訪問リハビリテーションは、医療行為や専門的な知識に基づく指導が含まれるため、医師の指示が必要です。,0.9,ERROR,Expecting value: line 1 column 1 (char 0),a,訪問介護（ホームヘルプサービス）は、日常生活の支援（掃除、買い物、食事作り等）や身体介護（入浴、排せつ介助等）を提供するサービスで、医師の指示を必要としません。一方、他の選択肢は全て医療行為に関連するサービスであり、医師の指示が必要です。,0.9,
119B15,消化管位置異常のない患者で上部内視鏡検査を開始する際にとらせる体位はどれか。 ,a. 右側臥位 | b. 起座位 | c. 仰臥位 | d. 砕石位 | e. 左側臥位,e,上部内視鏡検査は通常、左側臥位で行うため。,1.0,e,上部内視鏡検査を行う際、患者は通常左側臥位にします。これは胃の自然な位置を利用し、内視鏡の挿入を容易にするためです。この体位により、挿入時の患者の負担や嘔吐反射が少なくなります。,0.9,e,上部内視鏡検査では、重力の影響を利用し、食道・胃の構造が最適な状態となる左側臥位が一般的に採用されるため。,1.0,e,上部内視鏡検査は、誤嚥防止のため一般的に左側臥位で行われる。,1.0,ERROR,Expecting value: line 1 column 1 (char 0),e,上部内視鏡検査は通常、左側臥位で開始します。この体位は食道への内視鏡挿入が最も安全かつ容易で、唾液や胃液が口腔内に逆流するリスクを最小限に抑えることができます。また、胃の解剖学的位置関係を考慮しても、左側臥位が最も観察しやすい体位となります。,0.9,
119B16,急性中耳炎の症状で緊急に画像検査が必要なのはどれか。 ,a. 耳痛 | b. 耳漏 | c. 頭痛 | d. 難聴 | e. 発熱,c,急性中耳炎で頭痛が生じる場合、頭蓋内合併症の可能性を考慮して緊急の画像検査が必要となるため。,0.9,c,急性中耳炎の症状の中で、頭痛は頭蓋内合併症を示唆する可能性があるため、緊急に画像検査が必要となる。耳痛や耳漏、発熱、難聴は急性中耳炎自体の直接的な症状であるが、緊急性を要する頭蓋内合併症の兆候とは考えにくい。,0.9,c,急性中耳炎の一般的な症状として耳痛、耳漏、難聴、発熱が挙げられますが、頭痛は中耳炎の合併症（例：髄膜炎や脳膿瘍など）の可能性を示唆するため、緊急に画像検査を行う必要があります。,1.0,c,急性中耳炎で頭痛を伴う場合は、髄膜炎などの合併症を疑う必要があり、緊急で画像検査を要する。耳痛、耳漏、難聴、発熱は一般的な症状である。,0.9,ERROR,Expecting value: line 1 column 1 (char 0),c,急性中耳炎において頭痛は髄膜炎や脳膿瘍などの頭蓋内合併症を示唆する可能性があり、緊急の画像検査（ct/mri）が必要です。他の症状（耳痛、耳漏、難聴、発熱）は急性中耳炎の一般的な症状であり、通常は緊急の画像検査を必要としません。,0.9,
119B17,透析導入されていない保存期末期腎不全患者の食事療法で制限が必要ないのはどれか。 ,a. リン | b. 食塩 | c. 蛋白質 | d. カリウム | e. エネルギー,e,保存期末期腎不全では、たんぱく質やリン、カリウム、食塩などは制限が必要だが、エネルギー（総カロリー）の制限は不要で十分な摂取が推奨されるため。,0.9,e,末期腎不全患者の保存期における食事療法では、一般的にリン、食塩、蛋白質、カリウムの摂取制限が重要です。一方で、エネルギー摂取は制限する必要はなく、むしろ十分なカロリーを確保することが推奨されています。したがって、制限が必要ないのはエネルギーです。,0.9,e,保存期末期腎不全患者は、リン、食塩、蛋白質、カリウムは腎機能低下による合併症予防のために制限されるが、エネルギーは栄養状態維持のために十分に確保する必要があるため制限しない。,1.0,e,保存期末期腎不全では、リン、食塩、蛋白質、カリウムの制限が必要となるが、エネルギーはむしろ適切な摂取が重要である。エネルギー不足は蛋白質異化を促進し、尿毒症症状を悪化させる可能性がある。,0.9,ERROR,Expecting value: line 1 column 1 (char 0),e,保存期末期腎不全患者において、エネルギー摂取は制限する必要がなく、むしろ十分な摂取が推奨されます。一方、リン、食塩、蛋白質、カリウムは腎機能低下に伴い体内に蓄積するため制限が必要です。適切なエネルギー摂取は、栄養状態の維持と体蛋白質の異化防止に重要です。,0.9,
119B18,動脈採血に最も適しているのはどれか。 ,a. 総頸動脈 | b. 鎖骨下動脈 | c. 尺骨動脈 | d. 大腿動脈 | e. 膝窩動脈,d,ラジアル動脈が最も一般的だが、選択肢にないため、大腿動脈がこれらの中では最適とされる。,0.9,d,大腿動脈は表面にあるため動脈穿刺が比較的容易であり、動脈採血に適しているとされています。他の選択肢と比較しても、大腿動脈は安全性や実用性の観点から妥当な選択です。,0.9,c,動脈採血において最も適しているのは、手関部で触知しやすく、圧迫止血が容易な動脈です。通常は橈骨動脈が第一選択ですが、提示された選択肢の中では、前腕に位置し、比較的表在性の高い尺骨動脈がより安全かつ採血がしやすいと考えられます。,1.0,c,動脈採血は、通常、橈骨動脈、上腕動脈、または大腿動脈で行われます。尺骨動脈は、橈骨動脈が利用できない場合に選択肢となり得ますが、総頸動脈、鎖骨下動脈、膝窩動脈は、合併症のリスクが高いため、通常は避けるべきです。,0.9,ERROR,Expecting value: line 1 column 1 (char 0),d,大腿動脈は以下の理由から動脈採血に最も適している：,0.9,
119B19,めまいを呈する疾患とその特徴の組合せで誤っているのはどれか。 ,a. Ménière病 - 難聴 | b. 小脳梗塞 - 運動失調 | c. 聴神経腫瘍 - 聴力低下 | d. 脳幹出血 - 視力低下 | e. パニック症 - 動悸,d,脳幹出血では複視や構音障害などはみられるものの，直接の視力低下は主症状ではないため誤りと考えられる。,1.0,d,脳幹出血は主に意識障害や神経症状（例えば、運動機能の障害）を引き起こすことが多く、視力低下は直接的には関連付けられないことが多いです。他の選択肢はそれぞれの疾患の典型的な症状を反映しています。,0.9,d,脳幹出血は、意識障害や四肢麻痺、呼吸障害などの症状を呈するのが一般的で、視力低下は通常認められないため。その他の選択肢は各疾患の特徴として正しい。,1.0,d,脳幹出血では、意識障害や四肢麻痺、呼吸障害などが起こりやすいが、視力低下は直接的な症状としては一般的ではない。他の選択肢は正しい組み合わせである。,0.9,ERROR,Expecting value: line 1 column 1 (char 0),d,脳幹出血の主な特徴は、意識障害、運動麻痺、眼球運動障害、嚥下障害などです。視力低下は脳幹出血の典型的な症状ではありません。他の組み合わせは全て正しい特徴を示しています（ménière病は内耳性めまいと難聴、小脳梗塞は運動失調、聴神経腫瘍は聴力低下、パニック症は動悸を伴う）。,0.9,
119B20,妊婦が胎動を感じ始める妊娠週数はどれか。 ,a. 4 | b. 12 | c. 20 | d. 28 | e. 36,c,初産婦では妊娠18～20週頃から胎動を感じ始めることが多いため。,1.0,c,妊婦が胎動を感じ始める典型的な妊娠週数は、一般的に20週前後とされています。個人差はありますが、20週頃から感じ始めることが最も一般的です。,0.9,c,胎動（quickening）は、一般的に妊娠20週頃に感じ始めるとされるため。,0.95,c,一般的に、初産婦では妊娠20週頃、経産婦ではもう少し早く胎動を感じ始めます。,1.0,ERROR,Expecting value: line 1 column 1 (char 0),c,胎動初覚（はたいどうしょかく）は通常、初産婦で妊娠18-20週頃、経産婦でやや早く16-18週頃に感じ始めます。20週という選択肢が最も適切です。これは「quickening」とも呼ばれる重要な妊娠経過の指標です。,0.95,
119B21,血中FSH54mIU/mL(基準5.2~14.4)、血中エストラジオール10pg/mL(基準25~75)の場合、続発性無月経の原因部位はどれか。 ,a. 視床 | b. 視床下部 | c. 下垂体 | d. 副腎 | e. 卵巣,e,エストロゲン低値にもかかわらずfshが高値であり、卵巣性の機能低下を示すため。,1.0,e,記載されたホルモン値は閉経後や卵巣機能不全を示唆します。特に、非常に高いfsh値と低いエストラジオール値は卵巣の反応不全（例えば早発卵巣不全）を示しています。したがって原因部位は卵巣です。,0.9,e,血中fshが異常に高く、エストラジオールが低い場合は、下垂体からの刺激にも関わらず卵巣が反応しないため、原発性卵巣機能不全が疑われます。,1.0,e,fsh高値、エストラジオール低値は卵巣機能不全を示唆する。視床下部-下垂体機能は保たれていると考えられるため、原因部位は卵巣と考えられる。,0.9,ERROR,Expecting value: line 1 column 1 (char 0),e,fshが高値でエストラジオールが低値という組み合わせは、原発性性腺機能低下（卵巣機能不全）を示す典型的なパターンです。これは、卵巣からのネガティブフィードバックが働かないため、fshが上昇し、卵巣でのエストロゲン産生が低下している状態を示しています。この所見は卵巣性無月経（高ゴナドトロピン性性腺機能低下症）に特徴的です。,0.9,
119B22,個人情報の医療機関から第三者への提供で、本人の同意が必要なのはどれか。 ,a. 患者の職場からの照会への回答 | b. 調剤薬局からの疑義照会への回答 | c. 健康保険の審査支払機関からの照会への回答 | d. 市役所からの生活保護受給者に係る病状調査への回答 | e. 医療事故発生時の医療事故調査·支援センターへの報告,a,職場からの照会は法的義務による提供ではないため、本人の同意が必要になるため,1.0,a,患者の職場からの照会への回答に関して、個人情報の提供には患者本人の同意が必要です。他の選択肢は法律や規則に基づく情報提供のケースが想定され、必ずしも本人の同意が必要とされるわけではありません。,0.9,a,患者の職場という第三者に対して、診療連携等の法定根拠がなく情報を提供する場合は、本人の意思確認が必要となるため。その他の選択肢は、医療連携や法令に基づく情報提供であり、同意が不要とされるためです。,1.0,a,患者の職場からの照会は、原則として本人の同意が必要です。他の選択肢は、医療行為、保険請求、法令に基づく調査など、正当な理由があるため、本人の同意が不要な場合があります。,1.0,ERROR,Expecting value: line 1 column 1 (char 0),a,患者の職場からの照会は、医療機関と直接の医療提供関係がない第三者への情報提供にあたります。他の選択肢は、法令に基づく照会や医療提供に必要な情報共有であり、本人の同意なしで提供が認められています。特に調剤薬局との疑義照会、保険審査、生活保護に関する照会、医療事故調査は、法的根拠のある情報提供です。,0.9,
119B23,乳児で緊急処置を要するバイタルサインはどれか。 ,a. 体温38.0℃ | b. 脈拍52/分 | c. 血圧76/52mmHg | d. 呼吸数36/分 | e. SpO296%(roomair),b,乳児の正常脈拍は概ね100/分以上であり、52/分は著しい徐脈で緊急処置が必要となるため。,1.0,b,乳児の正常な脈拍数は100～160回/分程度であるため、脈拍52/分は著しく低く、緊急処置を要する可能性が高いです。他の選択肢は比較的正常範囲内か、異常でもただちに緊急処置を要するレベルではありません。,0.9,b,乳児の正常な心拍数は約100～160/分であり、脈拍52/分は明らかに低すぎるため、緊急処置が必要となります。,1.0,b,乳児の正常脈拍数は一般的に100-160回/分程度であり、52回/分は徐脈で緊急処置を要する。他の選択肢は、体温は軽度発熱、血圧は正常範囲内、呼吸数とspo2は正常範囲内と考えられる。,1.0,ERROR,Expecting value: line 1 column 1 (char 0),b,乳児の正常な脈拍数は100-160/分程度であり、52/分という徐脈は生命に危険を及ぼす可能性がある重篤な状態です。他の選択肢は、体温は微熱程度、血圧・呼吸数・spo2は概ね正常範囲内であり、緊急性は低いと判断されます。,0.9,
